G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
62,"Thu, Mar 6, 2014",10:30p,,Box Score,,Los Angeles Clippers,L,,94,142,21,41,L 2,18488,2:23,,False,LAL,2014
63,"Fri, Mar 7, 2014",9:00p,,Box Score,@,Denver Nuggets,L,,126,134,21,42,L 3,18248,2:12,,False,LAL,2014
64,"Sun, Mar 9, 2014",3:30p,,Box Score,,Oklahoma City Thunder,W,,114,110,22,42,W 1,18997,2:32,,False,LAL,2014
65,"Thu, Mar 13, 2014",9:30p,,Box Score,@,Oklahoma City Thunder,L,,102,131,22,43,L 1,18203,2:27,,False,LAL,2014
66,"Fri, Mar 14, 2014",8:30p,,Box Score,@,San Antonio Spurs,L,,85,119,22,44,L 2,18581,2:02,,False,LAL,2014
67,"Wed, Mar 19, 2014",10:30p,,Box Score,,San Antonio Spurs,L,,109,125,22,45,L 3,18997,2:14,,False,LAL,2014
68,"Fri, Mar 21, 2014",10:30p,,Box Score,,Washington Wizards,L,,107,117,22,46,L 4,18112,2:17,,False,LAL,2014
69,"Sun, Mar 23, 2014",9:30p,,Box Score,,Orlando Magic,W,,103,94,23,46,W 1,17803,2:15,,False,LAL,2014
70,"Tue, Mar 25, 2014",10:30p,,Box Score,,New York Knicks,W,,127,96,24,46,W 2,18997,2:22,,False,LAL,2014
71,"Thu, Mar 27, 2014",8:00p,,Box Score,@,Milwaukee Bucks,L,,105,108,24,47,L 1,15439,2:15,,False,LAL,2014
72,"Fri, Mar 28, 2014",8:00p,,Box Score,@,Minnesota Timberwolves,L,,107,143,24,48,L 2,16442,2:07,,False,LAL,2014
73,"Sun, Mar 30, 2014",9:30p,,Box Score,,Phoenix Suns,W,,115,99,25,48,W 1,18355,2:12,,False,LAL,2014
74,"Tue, Apr 1, 2014",10:30p,,Box Score,,Portland Trail Blazers,L,,112,124,25,49,L 1,18110,2:18,,False,LAL,2014
75,"Wed, Apr 2, 2014",10:00p,,Box Score,@,Sacramento Kings,L,,102,107,25,50,L 2,17317,2:12,,False,LAL,2014
76,"Fri, Apr 4, 2014",10:30p,,Box Score,,Dallas Mavericks,L,,95,107,25,51,L 3,18997,2:02,,False,LAL,2014
77,"Sun, Apr 6, 2014",3:30p,,Box Score,@,Los Angeles Clippers,L,,97,120,25,52,L 4,19239,2:29,,False,LAL,2014
78,"Tue, Apr 8, 2014",10:30p,,Box Score,,Houston Rockets,L,,130,145,25,53,L 5,18131,2:22,,False,LAL,2014
79,"Fri, Apr 11, 2014",10:30p,,Box Score,,Golden State Warriors,L,,95,112,25,54,L 6,18997,1:59,,False,LAL,2014
80,"Sun, Apr 13, 2014",9:30p,,Box Score,,Memphis Grizzlies,L,,90,102,25,55,L 7,18997,1:59,,False,LAL,2014
81,"Mon, Apr 14, 2014",9:00p,,Box Score,@,Utah Jazz,W,,119,104,26,55,W 1,19911,2:00,,False,LAL,2014
82,"Wed, Apr 16, 2014",8:00p,,Box Score,@,San Antonio Spurs,W,,113,100,27,55,W 2,18581,1:55,,False,LAL,2014
