G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
54,"Fri, Feb 19, 2016",8:00p,,Box Score,,Toronto Raptors,W,,116,106,28,26,W 1,21849,2:13,,False,CHI,2016
55,"Sun, Feb 21, 2016",8:00p,,Box Score,,Los Angeles Lakers,W,,126,115,29,26,W 2,23143,2:19,,False,CHI,2016
56,"Wed, Feb 24, 2016",8:00p,,Box Score,,Washington Wizards,W,,109,104,30,26,W 3,21560,2:11,,False,CHI,2016
57,"Fri, Feb 26, 2016",8:00p,,Box Score,@,Atlanta Hawks,L,,88,103,30,27,L 1,18123,2:15,,False,CHI,2016
58,"Sat, Feb 27, 2016",8:00p,,Box Score,,Portland Trail Blazers,L,,95,103,30,28,L 2,21962,2:09,,False,CHI,2016
59,"Tue, Mar 1, 2016",7:30p,,Box Score,@,Miami Heat,L,,111,129,30,29,L 3,19654,2:10,,False,CHI,2016
60,"Wed, Mar 2, 2016",7:00p,,Box Score,@,Orlando Magic,L,,89,102,30,30,L 4,16072,2:02,,False,CHI,2016
61,"Sat, Mar 5, 2016",8:30p,,Box Score,,Houston Rockets,W,,108,100,31,30,W 1,22203,2:32,,False,CHI,2016
62,"Mon, Mar 7, 2016",8:00p,,Box Score,,Milwaukee Bucks,W,,100,90,32,30,W 2,21672,2:10,,False,CHI,2016
63,"Thu, Mar 10, 2016",8:00p,,Box Score,@,San Antonio Spurs,L,,101,109,32,31,L 1,18418,2:13,,False,CHI,2016
64,"Fri, Mar 11, 2016",8:00p,,Box Score,,Miami Heat,L,,96,118,32,32,L 2,22067,1:59,,False,CHI,2016
65,"Mon, Mar 14, 2016",7:30p,,Box Score,@,Toronto Raptors,W,,109,107,33,32,W 1,19800,2:23,,False,CHI,2016
66,"Wed, Mar 16, 2016",7:00p,,Box Score,@,Washington Wizards,L,,96,117,33,33,L 1,19556,2:10,,False,CHI,2016
67,"Thu, Mar 17, 2016",8:00p,,Box Score,,Brooklyn Nets,W,,118,102,34,33,W 1,21513,2:01,,False,CHI,2016
68,"Sat, Mar 19, 2016",8:00p,,Box Score,,Utah Jazz,W,,92,85,35,33,W 2,21856,1:58,,False,CHI,2016
69,"Mon, Mar 21, 2016",8:00p,,Box Score,,Sacramento Kings,W,,109,102,36,33,W 3,21531,2:11,,False,CHI,2016
70,"Wed, Mar 23, 2016",8:00p,,Box Score,,New York Knicks,L,,107,115,36,34,L 1,21788,2:08,,False,CHI,2016
71,"Thu, Mar 24, 2016",7:30p,,Box Score,@,New York Knicks,L,,94,106,36,35,L 2,19812,2:01,,False,CHI,2016
72,"Sat, Mar 26, 2016",7:00p,,Box Score,@,Orlando Magic,L,,89,111,36,36,L 3,18846,1:59,,False,CHI,2016
73,"Mon, Mar 28, 2016",8:00p,,Box Score,,Atlanta Hawks,L,,100,102,36,37,L 4,21761,2:09,,False,CHI,2016
74,"Tue, Mar 29, 2016",7:00p,,Box Score,@,Indiana Pacers,W,,98,96,37,37,W 1,17050,2:08,,False,CHI,2016
75,"Thu, Mar 31, 2016",7:00p,,Box Score,@,Houston Rockets,W,,103,100,38,37,W 2,18244,2:27,,False,CHI,2016
76,"Sat, Apr 2, 2016",8:00p,,Box Score,,Detroit Pistons,L,,90,94,38,38,L 1,22197,2:19,,False,CHI,2016
77,"Sun, Apr 3, 2016",7:00p,,Box Score,@,Milwaukee Bucks,W,,102,98,39,38,W 1,15768,2:04,,False,CHI,2016
78,"Tue, Apr 5, 2016",8:00p,,Box Score,@,Memphis Grizzlies,L,,92,108,39,39,L 1,17591,2:08,,False,CHI,2016
79,"Thu, Apr 7, 2016",8:00p,,Box Score,@,Miami Heat,L,,98,106,39,40,L 2,19771,2:21,,False,CHI,2016
80,"Sat, Apr 9, 2016",8:30p,,Box Score,,Cleveland Cavaliers,W,,105,102,40,40,W 1,22186,2:20,,False,CHI,2016
81,"Mon, Apr 11, 2016",8:00p,,Box Score,@,New Orleans Pelicans,W,,121,116,41,40,W 2,16867,2:12,,False,CHI,2016
82,"Wed, Apr 13, 2016",8:00p,,Box Score,,Philadelphia 76ers,W,,115,105,42,40,W 3,21777,2:07,,False,CHI,2016
