G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 31, 1986",7:55p,,Box Score,,New York Knicks,W,,108,97,1,0,W 1,17684,2:18,,False,NJN,1987
2,"Sat, Nov 1, 1986",,,Box Score,@,Atlanta Hawks,L,,111,131,1,1,L 1,13650,,,False,NJN,1987
3,"Tue, Nov 4, 1986",,,Box Score,@,Washington Bullets,L,,101,102,1,2,L 2,9489,,,False,NJN,1987
4,"Wed, Nov 5, 1986",7:42p,,Box Score,,San Antonio Spurs,L,,103,112,1,3,L 3,6799,2:17,,False,NJN,1987
5,"Fri, Nov 7, 1986",7:42p,,Box Score,,Milwaukee Bucks,L,,94,115,1,4,L 4,8286,2:21,,False,NJN,1987
6,"Tue, Nov 11, 1986",7:45p,,Box Score,,Boston Celtics,W,,114,110,2,4,W 1,14720,2:17,,False,NJN,1987
7,"Thu, Nov 13, 1986",7:44p,,Box Score,,Indiana Pacers,L,OT,117,120,2,5,L 1,7709,2:22,,False,NJN,1987
8,"Sat, Nov 15, 1986",7:41p,,Box Score,,Atlanta Hawks,L,,90,109,2,6,L 2,11745,2:09,,False,NJN,1987
9,"Tue, Nov 18, 1986",,,Box Score,@,Denver Nuggets,L,,112,125,2,7,L 3,8471,,,False,NJN,1987
10,"Wed, Nov 19, 1986",,,Box Score,@,Phoenix Suns,L,,101,111,2,8,L 4,9651,,,False,NJN,1987
11,"Fri, Nov 21, 1986",,,Box Score,@,Los Angeles Lakers,L,,95,111,2,9,L 5,14918,,,False,NJN,1987
12,"Sat, Nov 22, 1986",,,Box Score,@,Utah Jazz,L,,78,96,2,10,L 6,11732,,,False,NJN,1987
13,"Tue, Nov 25, 1986",,,Box Score,@,San Antonio Spurs,L,,99,117,2,11,L 7,5511,,,False,NJN,1987
14,"Fri, Nov 28, 1986",,,Box Score,@,Dallas Mavericks,L,,94,119,2,12,L 8,17007,,,False,NJN,1987
15,"Sat, Nov 29, 1986",,,Box Score,@,Houston Rockets,W,,102,97,3,12,W 1,16016,,,False,NJN,1987
16,"Wed, Dec 3, 1986",7:41p,,Box Score,,Detroit Pistons,L,OT,106,107,3,13,L 1,7623,2:49,,False,NJN,1987
17,"Fri, Dec 5, 1986",8:10p,,Box Score,,Denver Nuggets,L,,100,113,3,14,L 2,7498,2:11,,False,NJN,1987
18,"Sat, Dec 6, 1986",,,Box Score,@,Philadelphia 76ers,L,,100,105,3,15,L 3,14387,,,False,NJN,1987
19,"Tue, Dec 9, 1986",7:42p,,Box Score,,Sacramento Kings,L,,107,120,3,16,L 4,7521,2:11,,False,NJN,1987
20,"Wed, Dec 10, 1986",,,Box Score,@,Boston Celtics,L,,98,108,3,17,L 5,14890,2:09,,False,NJN,1987
21,"Fri, Dec 12, 1986",7:44p,,Box Score,,Philadelphia 76ers,W,,123,90,4,17,W 1,15086,2:14,,False,NJN,1987
22,"Sat, Dec 13, 1986",,,Box Score,@,Indiana Pacers,L,,91,95,4,18,L 1,10848,,,False,NJN,1987
23,"Tue, Dec 16, 1986",,,Box Score,@,Chicago Bulls,L,,98,99,4,19,L 2,10162,,,False,NJN,1987
24,"Thu, Dec 18, 1986",,,Box Score,@,New York Knicks,W,,94,93,5,19,W 1,9978,,,False,NJN,1987
25,"Tue, Dec 23, 1986",7:40p,,Box Score,,Utah Jazz,W,,119,96,6,19,W 2,9871,2:03,,False,NJN,1987
26,"Fri, Dec 26, 1986",,,Box Score,@,Cleveland Cavaliers,L,,112,121,6,20,L 1,14080,,,False,NJN,1987
27,"Sat, Dec 27, 1986",7:40p,,Box Score,,Cleveland Cavaliers,W,,120,111,7,20,W 1,11475,2:10,,False,NJN,1987
28,"Mon, Dec 29, 1986",7:42p,,Box Score,,Milwaukee Bucks,W,,122,117,8,20,W 2,10050,2:25,,False,NJN,1987
29,"Fri, Jan 2, 1987",,,Box Score,@,Detroit Pistons,L,,128,129,8,21,L 1,22590,,,False,NJN,1987
30,"Sat, Jan 3, 1987",7:40p,,Box Score,,Los Angeles Clippers,W,,118,97,9,21,W 1,7707,2:02,,False,NJN,1987
31,"Tue, Jan 6, 1987",,,Box Score,@,Milwaukee Bucks,L,,112,124,9,22,L 1,10968,,,False,NJN,1987
32,"Wed, Jan 7, 1987",7:42p,,Box Score,,Washington Bullets,W,,118,96,10,22,W 1,8018,1:54,,False,NJN,1987
33,"Fri, Jan 9, 1987",7:43p,,Box Score,,Portland Trail Blazers,L,OT,120,127,10,23,L 1,8113,2:32,,False,NJN,1987
34,"Sat, Jan 10, 1987",,,Box Score,@,Chicago Bulls,L,,109,119,10,24,L 2,16243,,,False,NJN,1987
35,"Tue, Jan 13, 1987",7:42p,,Box Score,,Boston Celtics,L,,117,123,10,25,L 3,14891,2:10,,False,NJN,1987
36,"Wed, Jan 14, 1987",,,Box Score,@,Washington Bullets,L,,100,118,10,26,L 4,6605,,,False,NJN,1987
37,"Sat, Jan 17, 1987",7:43p,,Box Score,,Detroit Pistons,L,,113,123,10,27,L 5,9455,2:13,,False,NJN,1987
38,"Mon, Jan 19, 1987",1:11p,,Box Score,,Los Angeles Lakers,L,,115,126,10,28,L 6,14197,2:06,,False,NJN,1987
