G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 27, 2015",10:30p,,Box Score,,New Orleans Pelicans,W,,111,95,1,0,W 1,19596,2:24,,False,GSW,2016
2,"Fri, Oct 30, 2015",9:30p,,Box Score,@,Houston Rockets,W,,112,92,2,0,W 2,18142,2:20,,False,GSW,2016
3,"Sat, Oct 31, 2015",7:30p,,Box Score,@,New Orleans Pelicans,W,,134,120,3,0,W 3,18406,2:11,,False,GSW,2016
4,"Mon, Nov 2, 2015",10:30p,,Box Score,,Memphis Grizzlies,W,,119,69,4,0,W 4,19596,2:09,,False,GSW,2016
5,"Wed, Nov 4, 2015",10:30p,,Box Score,,Los Angeles Clippers,W,,112,108,5,0,W 5,19596,2:36,,False,GSW,2016
6,"Fri, Nov 6, 2015",10:30p,,Box Score,,Denver Nuggets,W,,119,104,6,0,W 6,19596,2:12,,False,GSW,2016
7,"Sat, Nov 7, 2015",10:00p,,Box Score,@,Sacramento Kings,W,,103,94,7,0,W 7,17317,2:06,,False,GSW,2016
8,"Mon, Nov 9, 2015",10:30p,,Box Score,,Detroit Pistons,W,,109,95,8,0,W 8,19596,2:04,,False,GSW,2016
9,"Wed, Nov 11, 2015",8:00p,,Box Score,@,Memphis Grizzlies,W,,100,84,9,0,W 9,18119,2:18,,False,GSW,2016
10,"Thu, Nov 12, 2015",8:00p,,Box Score,@,Minnesota Timberwolves,W,,129,116,10,0,W 10,16130,2:19,,False,GSW,2016
11,"Sat, Nov 14, 2015",10:30p,,Box Score,,Brooklyn Nets,W,OT,107,99,11,0,W 11,19596,2:18,,False,GSW,2016
12,"Tue, Nov 17, 2015",10:30p,,Box Score,,Toronto Raptors,W,,115,110,12,0,W 12,19596,2:25,,False,GSW,2016
13,"Thu, Nov 19, 2015",10:30p,,Box Score,@,Los Angeles Clippers,W,,124,117,13,0,W 13,19528,2:32,,False,GSW,2016
14,"Fri, Nov 20, 2015",10:30p,,Box Score,,Chicago Bulls,W,,106,94,14,0,W 14,19596,2:16,,False,GSW,2016
15,"Sun, Nov 22, 2015",8:00p,,Box Score,@,Denver Nuggets,W,,118,105,15,0,W 15,17689,2:18,,False,GSW,2016
16,"Tue, Nov 24, 2015",10:30p,,Box Score,,Los Angeles Lakers,W,,111,77,16,0,W 16,19596,2:05,,False,GSW,2016
17,"Fri, Nov 27, 2015",9:30p,,Box Score,@,Phoenix Suns,W,,135,116,17,0,W 17,18055,2:13,,False,GSW,2016
18,"Sat, Nov 28, 2015",10:30p,,Box Score,,Sacramento Kings,W,,120,101,18,0,W 18,19596,2:07,,False,GSW,2016
19,"Mon, Nov 30, 2015",9:00p,,Box Score,@,Utah Jazz,W,,106,103,19,0,W 19,19911,2:12,,False,GSW,2016
20,"Wed, Dec 2, 2015",7:00p,,Box Score,@,Charlotte Hornets,W,,116,99,20,0,W 20,19542,2:06,,False,GSW,2016
21,"Sat, Dec 5, 2015",5:00p,,Box Score,@,Toronto Raptors,W,,112,109,21,0,W 21,20160,2:29,,False,GSW,2016
22,"Sun, Dec 6, 2015",6:00p,,Box Score,@,Brooklyn Nets,W,,114,98,22,0,W 22,17732,2:10,,False,GSW,2016
23,"Tue, Dec 8, 2015",7:00p,,Box Score,@,Indiana Pacers,W,,131,123,23,0,W 23,18165,2:14,,False,GSW,2016
24,"Fri, Dec 11, 2015",7:30p,,Box Score,@,Boston Celtics,W,2OT,124,119,24,0,W 24,18624,2:55,,False,GSW,2016
25,"Sat, Dec 12, 2015",8:30p,,Box Score,@,Milwaukee Bucks,L,,95,108,24,1,L 1,18717,2:06,,False,GSW,2016
26,"Wed, Dec 16, 2015",10:30p,,Box Score,,Phoenix Suns,W,,128,103,25,1,W 1,19596,2:15,,False,GSW,2016
27,"Fri, Dec 18, 2015",10:30p,,Box Score,,Milwaukee Bucks,W,,121,112,26,1,W 2,19596,2:18,,False,GSW,2016
28,"Wed, Dec 23, 2015",10:30p,,Box Score,,Utah Jazz,W,,103,85,27,1,W 3,19596,1:57,,False,GSW,2016
29,"Fri, Dec 25, 2015",5:00p,,Box Score,,Cleveland Cavaliers,W,,89,83,28,1,W 4,19596,2:26,,False,GSW,2016
30,"Mon, Dec 28, 2015",10:30p,,Box Score,,Sacramento Kings,W,,122,103,29,1,W 5,19596,2:10,,False,GSW,2016
