G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
54,"Fri, Feb 18, 1983",,,Box Score,,Portland Trail Blazers,L,,97,101,19,35,L 1,8329,,,False,UTA,1983
55,"Sun, Feb 20, 1983",,,Box Score,@,San Diego Clippers,L,,97,107,19,36,L 2,4377,,,False,UTA,1983
56,"Tue, Feb 22, 1983",,,Box Score,,Washington Bullets,L,,98,99,19,37,L 3,7428,,,False,UTA,1983
57,"Thu, Feb 24, 1983",,,Box Score,,Phoenix Suns,L,,103,110,19,38,L 4,8479,,,False,UTA,1983
58,"Sat, Feb 26, 1983",,,Box Score,,Los Angeles Lakers,W,,101,92,20,38,W 1,12097,,,False,UTA,1983
59,"Sun, Feb 27, 1983",,,Box Score,@,Seattle SuperSonics,L,,98,101,20,39,L 1,20167,,,False,UTA,1983
60,"Tue, Mar 1, 1983",,,Box Score,,San Diego Clippers,W,,127,105,21,39,W 1,8003,,,False,UTA,1983
61,"Thu, Mar 3, 1983",,,Box Score,,Cleveland Cavaliers,W,,118,113,22,39,W 2,7233,,,False,UTA,1983
62,"Sat, Mar 5, 1983",,,Box Score,@,Golden State Warriors,L,,121,127,22,40,L 1,7906,,,False,UTA,1983
63,"Sun, Mar 6, 1983",,,Box Score,@,Portland Trail Blazers,W,,110,105,23,40,W 1,12666,,,False,UTA,1983
64,"Wed, Mar 9, 1983",,,Box Score,,Denver Nuggets,L,,109,122,23,41,L 1,10075,,,False,UTA,1983
65,"Fri, Mar 11, 1983",,,Box Score,,Dallas Mavericks,W,,119,110,24,41,W 1,10338,,,False,UTA,1983
66,"Sun, Mar 13, 1983",,,Box Score,@,Denver Nuggets,L,,117,130,24,42,L 1,13188,,,False,UTA,1983
67,"Wed, Mar 16, 1983",,,Box Score,@,Detroit Pistons,W,,125,115,25,42,W 1,5188,,,False,UTA,1983
68,"Sat, Mar 19, 1983",,,Box Score,@,Atlanta Hawks,L,,94,99,25,43,L 1,7174,,,False,UTA,1983
69,"Tue, Mar 22, 1983",,,Box Score,@,Washington Bullets,L,,98,121,25,44,L 2,5173,,,False,UTA,1983
70,"Wed, Mar 23, 1983",7:40p,,Box Score,@,New Jersey Nets,L,,104,124,25,45,L 3,11457,1:56,,False,UTA,1983
71,"Fri, Mar 25, 1983",,,Box Score,@,Indiana Pacers,L,,117,119,25,46,L 4,3065,,,False,UTA,1983
72,"Sun, Mar 27, 1983",,,Box Score,,Seattle SuperSonics,L,,108,122,25,47,L 5,8923,,,False,UTA,1983
73,"Tue, Mar 29, 1983",,,Box Score,@,Phoenix Suns,L,,107,115,25,48,L 6,11285,,,False,UTA,1983
74,"Wed, Mar 30, 1983",,,Box Score,,Dallas Mavericks,W,,117,103,26,48,W 1,8581,,,False,UTA,1983
75,"Fri, Apr 1, 1983",,,Box Score,,Golden State Warriors,W,,112,108,27,48,W 2,9527,,,False,UTA,1983
76,"Tue, Apr 5, 1983",,,Box Score,,Houston Rockets,W,,126,97,28,48,W 3,8157,,,False,UTA,1983
77,"Fri, Apr 8, 1983",,,Box Score,@,Kansas City Kings,L,,97,112,28,49,L 1,8664,,,False,UTA,1983
78,"Sat, Apr 9, 1983",,,Box Score,,Kansas City Kings,L,,102,108,28,50,L 2,8968,,,False,UTA,1983
79,"Tue, Apr 12, 1983",,,Box Score,,Denver Nuggets,W,,125,116,29,50,W 1,10195,,,False,UTA,1983
80,"Wed, Apr 13, 1983",,,Box Score,@,Dallas Mavericks,L,,99,106,29,51,L 1,9932,,,False,UTA,1983
81,"Fri, Apr 15, 1983",,,Box Score,@,San Antonio Spurs,L,,118,121,29,52,L 2,8405,,,False,UTA,1983
82,"Sat, Apr 16, 1983",,,Box Score,@,Houston Rockets,W,,126,117,30,52,W 1,6102,,,False,UTA,1983
