G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
68,"Tue, Mar 22, 1983",,,Box Score,,Cleveland Cavaliers,W,,117,94,34,34,W 2,4924,,,False,KCK,1983
69,"Thu, Mar 24, 1983",,,Box Score,@,Phoenix Suns,L,,95,112,34,35,L 1,10087,,,False,KCK,1983
70,"Sat, Mar 26, 1983",,,Box Score,@,Dallas Mavericks,W,,114,111,35,35,W 1,14574,,,False,KCK,1983
71,"Sun, Mar 27, 1983",,,Box Score,,Portland Trail Blazers,W,,110,95,36,35,W 2,6495,,,False,KCK,1983
72,"Tue, Mar 29, 1983",,,Box Score,@,Houston Rockets,W,,111,95,37,35,W 3,6291,,,False,KCK,1983
73,"Fri, Apr 1, 1983",,,Box Score,@,San Diego Clippers,W,,135,119,38,35,W 4,3267,,,False,KCK,1983
74,"Sat, Apr 2, 1983",,,Box Score,@,Golden State Warriors,W,,122,112,39,35,W 5,5232,,,False,KCK,1983
75,"Tue, Apr 5, 1983",,,Box Score,@,San Antonio Spurs,L,,113,130,39,36,L 1,7887,,,False,KCK,1983
76,"Wed, Apr 6, 1983",,,Box Score,,Denver Nuggets,W,,130,113,40,36,W 1,7130,,,False,KCK,1983
77,"Fri, Apr 8, 1983",,,Box Score,,Utah Jazz,W,,112,97,41,36,W 2,8664,,,False,KCK,1983
78,"Sat, Apr 9, 1983",,,Box Score,@,Utah Jazz,W,,108,102,42,36,W 3,8968,,,False,KCK,1983
79,"Tue, Apr 12, 1983",,,Box Score,@,Chicago Bulls,W,,112,102,43,36,W 4,3936,,,False,KCK,1983
80,"Wed, Apr 13, 1983",,,Box Score,,Atlanta Hawks,W,,114,103,44,36,W 5,8429,,,False,KCK,1983
81,"Fri, Apr 15, 1983",,,Box Score,,Houston Rockets,W,,117,102,45,36,W 6,8379,,,False,KCK,1983
82,"Sun, Apr 17, 1983",,,Box Score,@,Denver Nuggets,L,,116,125,45,37,L 1,17619,,,False,KCK,1983
