G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 29, 2014",7:30p,,Box Score,,Brooklyn Nets,W,,121,105,1,0,W 1,18624,2:13,,False,BOS,2015
2,"Sat, Nov 1, 2014",8:00p,,Box Score,@,Houston Rockets,L,,90,104,1,1,L 1,18309,2:10,,False,BOS,2015
3,"Mon, Nov 3, 2014",8:30p,,Box Score,@,Dallas Mavericks,L,,113,118,1,2,L 2,19948,2:21,,False,BOS,2015
4,"Wed, Nov 5, 2014",7:30p,,Box Score,,Toronto Raptors,L,,107,110,1,3,L 3,16249,2:09,,False,BOS,2015
5,"Fri, Nov 7, 2014",7:30p,,Box Score,,Indiana Pacers,W,,101,98,2,3,W 1,17122,2:12,,False,BOS,2015
6,"Sat, Nov 8, 2014",8:00p,,Box Score,@,Chicago Bulls,W,,106,101,3,3,W 2,22104,2:07,,False,BOS,2015
7,"Wed, Nov 12, 2014",7:30p,,Box Score,,Oklahoma City Thunder,L,,94,109,3,4,L 1,17043,2:01,,False,BOS,2015
8,"Fri, Nov 14, 2014",7:30p,,Box Score,,Cleveland Cavaliers,L,,121,122,3,5,L 2,18624,2:23,,False,BOS,2015
9,"Mon, Nov 17, 2014",7:30p,,Box Score,,Phoenix Suns,L,,114,118,3,6,L 3,16726,2:16,,False,BOS,2015
10,"Wed, Nov 19, 2014",7:00p,,Box Score,@,Philadelphia 76ers,W,,101,90,4,6,W 1,12701,2:04,,False,BOS,2015
11,"Fri, Nov 21, 2014",8:00p,,Box Score,@,Memphis Grizzlies,L,,100,117,4,7,L 1,17712,2:04,,False,BOS,2015
12,"Sun, Nov 23, 2014",6:00p,,Box Score,,Portland Trail Blazers,L,,88,94,4,8,L 2,16692,1:57,,False,BOS,2015
13,"Fri, Nov 28, 2014",1:00p,,Box Score,,Chicago Bulls,L,,102,109,4,9,L 3,18203,2:13,,False,BOS,2015
14,"Sun, Nov 30, 2014",1:00p,,Box Score,,San Antonio Spurs,L,,89,111,4,10,L 4,17121,2:01,,False,BOS,2015
15,"Tue, Dec 2, 2014",7:30p,,Box Score,@,Atlanta Hawks,L,,105,109,4,11,L 5,12705,2:07,,False,BOS,2015
16,"Wed, Dec 3, 2014",7:30p,,Box Score,,Detroit Pistons,W,OT,109,102,5,11,W 1,15870,2:32,,False,BOS,2015
17,"Fri, Dec 5, 2014",7:30p,,Box Score,,Los Angeles Lakers,W,,113,96,6,11,W 2,18624,2:01,,False,BOS,2015
18,"Sun, Dec 7, 2014",1:00p,,Box Score,,Washington Wizards,W,,101,93,7,11,W 3,16716,2:19,,False,BOS,2015
19,"Mon, Dec 8, 2014",7:00p,,Box Score,@,Washington Wizards,L,2OT,132,133,7,12,L 1,14828,3:02,,False,BOS,2015
20,"Wed, Dec 10, 2014",7:00p,,Box Score,@,Charlotte Hornets,L,,87,96,7,13,L 2,15276,2:11,,False,BOS,2015
21,"Fri, Dec 12, 2014",7:30p,,Box Score,,New York Knicks,L,,95,101,7,14,L 3,17989,2:11,,False,BOS,2015
22,"Mon, Dec 15, 2014",7:00p,,Box Score,@,Philadelphia 76ers,W,,105,87,8,14,W 1,12903,2:16,,False,BOS,2015
23,"Wed, Dec 17, 2014",7:30p,,Box Score,,Orlando Magic,W,,109,92,9,14,W 2,16764,2:00,,False,BOS,2015
24,"Fri, Dec 19, 2014",7:30p,,Box Score,,Minnesota Timberwolves,W,,114,98,10,14,W 3,17042,1:57,,False,BOS,2015
25,"Sun, Dec 21, 2014",6:00p,,Box Score,@,Miami Heat,L,,84,100,10,15,L 1,19720,2:08,,False,BOS,2015
26,"Tue, Dec 23, 2014",7:00p,,Box Score,@,Orlando Magic,L,,95,100,10,16,L 2,17489,2:14,,False,BOS,2015
27,"Fri, Dec 26, 2014",1:00p,,Box Score,,Brooklyn Nets,L,,107,109,10,17,L 3,18624,2:07,,False,BOS,2015
28,"Sat, Dec 27, 2014",7:00p,,Box Score,@,Washington Wizards,L,,88,101,10,18,L 4,20356,1:58,,False,BOS,2015
29,"Wed, Dec 31, 2014",1:00p,,Box Score,,Sacramento Kings,W,,106,84,11,18,W 1,18624,2:07,,False,BOS,2015
30,"Fri, Jan 2, 2015",7:30p,,Box Score,,Dallas Mavericks,L,,101,119,11,19,L 1,18624,2:04,,False,BOS,2015
31,"Sat, Jan 3, 2015",8:00p,,Box Score,@,Chicago Bulls,L,OT,104,109,11,20,L 2,21820,2:32,,False,BOS,2015
32,"Mon, Jan 5, 2015",7:30p,,Box Score,,Charlotte Hornets,L,,95,104,11,21,L 3,16720,2:15,,False,BOS,2015
33,"Wed, Jan 7, 2015",7:30p,,Box Score,@,Brooklyn Nets,W,,89,81,12,21,W 1,16005,2:04,,False,BOS,2015
34,"Fri, Jan 9, 2015",7:00p,,Box Score,@,Indiana Pacers,L,OT,103,107,12,22,L 1,18165,2:39,,False,BOS,2015
35,"Sat, Jan 10, 2015",7:30p,,Box Score,@,Toronto Raptors,L,,96,109,12,23,L 2,19800,2:05,,False,BOS,2015
36,"Mon, Jan 12, 2015",7:30p,,Box Score,,New Orleans Pelicans,W,,108,100,13,23,W 1,16905,2:14,,False,BOS,2015
37,"Wed, Jan 14, 2015",8:00p,,Box Score,,Atlanta Hawks,L,,91,105,13,24,L 1,16067,2:01,,False,BOS,2015
38,"Fri, Jan 16, 2015",7:30p,,Box Score,,Chicago Bulls,L,,103,119,13,25,L 2,18624,1:53,,False,BOS,2015
39,"Mon, Jan 19, 2015",3:30p,,Box Score,@,Los Angeles Clippers,L,,93,102,13,26,L 3,19060,2:06,,False,BOS,2015
40,"Thu, Jan 22, 2015",10:00p,,Box Score,@,Portland Trail Blazers,W,,90,89,14,26,W 1,19567,2:07,,False,BOS,2015
41,"Fri, Jan 23, 2015",9:00p,,Box Score,@,Denver Nuggets,W,,100,99,15,26,W 2,16133,2:15,,False,BOS,2015
42,"Sun, Jan 25, 2015",8:00p,,Box Score,@,Golden State Warriors,L,,111,114,15,27,L 1,19596,2:17,,False,BOS,2015
43,"Mon, Jan 26, 2015",9:00p,,Box Score,@,Utah Jazz,W,,99,90,16,27,W 1,18947,2:09,,False,BOS,2015
44,"Wed, Jan 28, 2015",8:00p,,Box Score,@,Minnesota Timberwolves,L,,98,110,16,28,L 1,11434,2:05,,False,BOS,2015
45,"Fri, Jan 30, 2015",7:30p,,Box Score,,Houston Rockets,L,,87,93,16,29,L 2,17675,2:14,,False,BOS,2015
46,"Sun, Feb 1, 2015",1:00p,,Box Score,,Miami Heat,L,,75,83,16,30,L 3,17366,2:12,,False,BOS,2015
47,"Tue, Feb 3, 2015",7:30p,,Box Score,@,New York Knicks,W,,108,97,17,30,W 1,19812,2:10,,False,BOS,2015
48,"Wed, Feb 4, 2015",7:30p,,Box Score,,Denver Nuggets,W,,104,100,18,30,W 2,15126,2:13,,False,BOS,2015
