G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 30, 2013",8:30p,,Box Score,@,Dallas Mavericks,L,,109,118,0,1,L 1,19834,2:14,,False,ATL,2014
2,"Fri, Nov 1, 2013",7:30p,,Box Score,,Toronto Raptors,W,,102,95,1,1,W 1,18118,2:12,,False,ATL,2014
3,"Sun, Nov 3, 2013",9:30p,,Box Score,@,Los Angeles Lakers,L,,103,105,1,2,L 1,18997,2:16,,False,ATL,2014
4,"Tue, Nov 5, 2013",10:00p,,Box Score,@,Sacramento Kings,W,,105,100,2,2,W 1,13506,2:16,,False,ATL,2014
5,"Thu, Nov 7, 2013",9:00p,,Box Score,@,Denver Nuggets,L,,107,109,2,3,L 1,15404,2:13,,False,ATL,2014
6,"Sat, Nov 9, 2013",7:30p,,Box Score,,Orlando Magic,W,,104,94,3,3,W 1,15189,2:13,,False,ATL,2014
7,"Mon, Nov 11, 2013",7:00p,,Box Score,@,Charlotte Bobcats,W,,103,94,4,3,W 2,13996,2:21,,False,ATL,2014
8,"Wed, Nov 13, 2013",8:00p,,Box Score,,New York Knicks,L,,91,95,4,4,L 1,15057,,,False,ATL,2014
9,"Fri, Nov 15, 2013",7:30p,,Box Score,,Philadelphia 76ers,W,,113,103,5,4,W 1,12070,2:10,,False,ATL,2014
10,"Sat, Nov 16, 2013",7:30p,,Box Score,@,New York Knicks,W,,110,90,6,4,W 2,19812,2:08,,False,ATL,2014
11,"Tue, Nov 19, 2013",7:30p,,Box Score,@,Miami Heat,L,,88,104,6,5,L 1,19600,2:12,,False,ATL,2014
12,"Wed, Nov 20, 2013",7:30p,,Box Score,,Detroit Pistons,W,,93,85,7,5,W 1,13167,2:08,,False,ATL,2014
13,"Fri, Nov 22, 2013",7:30p,,Box Score,@,Detroit Pistons,W,,96,89,8,5,W 2,13467,2:08,,False,ATL,2014
14,"Sat, Nov 23, 2013",7:30p,,Box Score,,Boston Celtics,L,,87,94,8,6,L 1,15189,2:18,,False,ATL,2014
15,"Tue, Nov 26, 2013",7:30p,,Box Score,,Orlando Magic,L,,92,109,8,7,L 2,13164,2:06,,False,ATL,2014
16,"Wed, Nov 27, 2013",8:00p,,Box Score,@,Houston Rockets,L,,84,113,8,8,L 3,18051,2:02,,False,ATL,2014
17,"Fri, Nov 29, 2013",7:30p,,Box Score,,Dallas Mavericks,W,,88,87,9,8,W 1,15463,2:12,,False,ATL,2014
18,"Sat, Nov 30, 2013",7:00p,,Box Score,@,Washington Wizards,L,,101,108,9,9,L 1,14280,2:12,,False,ATL,2014
19,"Mon, Dec 2, 2013",8:30p,,Box Score,@,San Antonio Spurs,L,,100,102,9,10,L 2,17318,2:02,,False,ATL,2014
20,"Wed, Dec 4, 2013",7:30p,,Box Score,,Los Angeles Clippers,W,,107,97,10,10,W 1,12020,2:08,,False,ATL,2014
21,"Fri, Dec 6, 2013",7:30p,,Box Score,,Cleveland Cavaliers,W,,108,89,11,10,W 2,13282,2:02,,False,ATL,2014
22,"Tue, Dec 10, 2013",7:30p,,Box Score,,Oklahoma City Thunder,L,,92,101,11,11,L 1,12503,2:18,,False,ATL,2014
23,"Fri, Dec 13, 2013",7:30p,,Box Score,,Washington Wizards,W,OT,101,99,12,11,W 1,11251,2:24,,False,ATL,2014
24,"Sat, Dec 14, 2013",7:30p,,Box Score,@,New York Knicks,L,,106,111,12,12,L 1,19812,2:14,,False,ATL,2014
25,"Mon, Dec 16, 2013",7:30p,,Box Score,,Los Angeles Lakers,W,,114,100,13,12,W 1,15146,2:01,,False,ATL,2014
26,"Wed, Dec 18, 2013",7:30p,,Box Score,,Sacramento Kings,W,,124,107,14,12,W 2,10185,2:06,,False,ATL,2014
27,"Fri, Dec 20, 2013",7:30p,,Box Score,,Utah Jazz,W,,118,85,15,12,W 3,11150,1:57,,False,ATL,2014
28,"Mon, Dec 23, 2013",7:30p,,Box Score,@,Miami Heat,L,OT,119,121,15,13,L 1,20204,2:41,,False,ATL,2014
29,"Thu, Dec 26, 2013",7:00p,,Box Score,@,Cleveland Cavaliers,W,2OT,127,125,16,13,W 1,18682,3:05,,False,ATL,2014
30,"Sat, Dec 28, 2013",7:30p,,Box Score,,Charlotte Bobcats,W,OT,118,116,17,13,W 2,15180,2:26,,False,ATL,2014
31,"Sun, Dec 29, 2013",6:00p,,Box Score,@,Orlando Magic,L,,102,109,17,14,L 1,15415,2:11,,False,ATL,2014
32,"Tue, Dec 31, 2013",1:00p,,Box Score,@,Boston Celtics,W,,92,91,18,14,W 1,18624,2:06,,False,ATL,2014
33,"Fri, Jan 3, 2014",7:30p,,Box Score,,Golden State Warriors,L,,100,101,18,15,L 1,15210,2:13,,False,ATL,2014
34,"Sat, Jan 4, 2014",8:00p,,Box Score,@,Chicago Bulls,L,,84,91,18,16,L 2,21539,2:08,,False,ATL,2014
35,"Mon, Jan 6, 2014",7:30p,,Box Score,@,Brooklyn Nets,L,,86,91,18,17,L 3,15326,2:19,,False,ATL,2014
36,"Wed, Jan 8, 2014",7:30p,,Box Score,,Indiana Pacers,W,,97,87,19,17,W 1,15169,2:10,,False,ATL,2014
