Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,John Havlicek,30.0,BOS,SF,81.0,,3678.0,20.8,0.513,0.342,8.6,23.0,6.6,5.9,12.5,0.164,"MVP-6,AS,NBA1,DEF2",1971,False
2.0,Elvin Hayes,25.0,SDR,C,82.0,,3633.0,19.4,0.468,0.305,16.4,8.0,0.7,7.1,7.8,0.102,AS,1971,False
3.0,Wilt Chamberlain,34.0,LAL,C,82.0,,3630.0,20.3,0.558,0.546,18.4,12.7,8.2,4.5,12.6,0.167,AS,1971,False
4.0,Bob Love,28.0,CHI,PF,81.0,,3482.0,17.0,0.515,0.362,9.4,8.1,6.0,3.9,9.9,0.137,"MVP-7,AS,NBA2",1971,False
5.0,Walt Frazier,25.0,NYK,PG,80.0,,3455.0,19.5,0.556,0.423,7.2,21.2,8.9,6.7,15.6,0.217,"AS,NBA2,DEF1",1971,False
6.0,Nate Thurmond,29.0,SFW,C,82.0,,3351.0,18.5,0.501,0.386,14.8,11.1,3.8,3.4,7.2,0.103,"MVP-8,DEF1",1971,False
7.0,Norm Van Lier,23.0,CIN,SG,82.0,,3324.0,16.2,0.494,0.387,7.9,30.7,3.0,3.0,6.0,0.086,DEF2,1971,False
8.0,Kareem Abdul-Jabbar,23.0,MIL,C,82.0,,3288.0,29.0,0.606,0.37,18.9,12.2,17.0,5.3,22.3,0.326,"MVP-1,AS,NBA1,DEF2",1971,False
9.0,Jerry Lucas,30.0,SFW,PF,80.0,,3251.0,20.6,0.544,0.294,17.1,13.2,6.8,3.8,10.5,0.156,AS,1971,False
10.0,Archie Clark,29.0,PHI,PG,82.0,82.0,3245.0,17.7,0.556,0.402,5.4,19.1,8.3,3.1,11.4,0.169,,1971,False
11.0,Oscar Robertson,32.0,MIL,PG,81.0,,3194.0,19.6,0.563,0.38,6.9,25.5,8.4,4.0,12.4,0.186,"MVP-5,AS,NBA2",1971,False
12.0,Dick Van Arsdale,27.0,PHO,SG,81.0,,3157.0,16.5,0.538,0.507,4.6,15.0,7.1,3.1,10.2,0.155,AS,1971,False
13.0,Tom Van Arsdale,27.0,CIN,SF,82.0,,3146.0,15.0,0.501,0.319,7.1,8.0,3.8,1.7,5.5,0.084,AS,1971,False
14.0,Bill Bridges,31.0,ATL,PF,82.0,,3140.0,13.8,0.498,0.396,17.7,9.6,2.1,1.8,3.9,0.059,,1971,False
15.0,Jerry Sloan,28.0,CHI,SG,80.0,,3140.0,14.6,0.483,0.29,10.6,13.0,1.9,4.1,6.0,0.092,DEF2,1971,False
16.0,Lou Hudson,26.0,ATL,SF,76.0,,3113.0,18.2,0.527,0.293,5.6,12.7,6.9,1.0,7.9,0.122,AS,1971,False
17.0,Stu Lantz,24.0,SDR,SG,82.0,,3102.0,16.8,0.532,0.493,5.7,15.6,6.3,4.2,10.5,0.162,,1971,False
18.0,Billy Cunningham,27.0,PHI,SF,81.0,80.0,3090.0,20.5,0.519,0.408,13.7,18.6,5.8,4.2,10.0,0.156,"MVP-9,AS,NBA1",1971,False
19.0,Dave Cowens,22.0,BOS,C,81.0,,3076.0,15.4,0.468,0.286,17.0,9.5,0.6,5.8,6.4,0.1,ROY-1,1971,False
20.0,Dave Bing,27.0,DET,PG,82.0,,3065.0,22.5,0.54,0.451,5.7,21.7,9.3,2.4,11.7,0.183,"MVP-3,AS,NBA1",1971,False
21.0,Hal Greer,34.0,PHI,SG,81.0,69.0,3060.0,13.8,0.487,0.295,5.3,16.7,2.3,2.7,5.1,0.079,,1971,False
22.0,Geoff Petrie,22.0,POR,SG,82.0,,3032.0,17.2,0.499,0.339,4.0,18.8,4.1,2.1,6.2,0.099,"ROY-1,AS",1971,False
23.0,Paul Silas,27.0,PHO,PF,81.0,,2944.0,14.1,0.494,0.527,15.8,10.9,1.9,4.8,6.7,0.11,DEF2,1971,False
24.0,Chet Walker,30.0,CHI,SF,81.0,,2927.0,18.9,0.541,0.4,9.5,9.4,7.5,3.4,10.9,0.178,AS,1971,False
