Rk,Player,Age,Team,Pos,G,TS%,FTr,OWS,DWS,WS,Awards,season,is_playoff
1.0,Bob Cousy,22.0,BOS,PG,69.0,0.415,0.321,2.2,1.8,3.9,AS,1951,False
2.0,Leo Barnhorst,26.0,INO,SF,68.0,0.377,0.177,-0.7,1.9,1.3,,1951,False
3.0,Frankie Brian,27.0,TRI,,68.0,0.424,0.451,2.9,2.7,5.6,"AS,NBA2",1951,False
4.0,Bob Donham,24.0,BOS,SG,68.0,0.522,0.768,3.8,0.7,4.5,,1951,False
5.0,Dike Eddleman,28.0,TRI,SF,68.0,0.408,0.312,0.9,2.9,3.8,AS,1951,False
6.0,Arnie Ferrin,25.0,MNL,,68.0,0.395,0.44,0.2,2.2,2.4,,1951,False
7.0,Larry Foust,22.0,FTW,C,68.0,0.409,0.419,0.9,3.6,4.5,AS,1951,False
8.0,Bob Harrison,23.0,MNL,,68.0,0.411,0.296,1.0,2.3,3.3,,1951,False
9.0,Red Holzman,30.0,ROC,PG,68.0,0.388,0.319,-0.2,1.0,0.8,,1951,False
10.0,Arnie Johnson,30.0,ROC,SF,68.0,0.564,0.921,7.5,1.7,9.1,,1951,False
11.0,Ralph Johnson,29.0,FTW,PG,68.0,0.361,0.22,-1.7,2.5,0.8,,1951,False
12.0,Jack Kerris,26.0,FTW,PF,68.0,0.434,0.428,2.6,3.1,5.7,,1951,False
13.0,Ed Macauley,22.0,BOS,,68.0,0.551,0.623,14.1,1.8,15.9,"AS,NBA1",1951,False
14.0,Slater Martin,25.0,MNL,PG,68.0,0.408,0.282,1.1,3.1,4.2,,1951,False
15.0,George Mikan,26.0,MNL,C,68.0,0.509,0.453,16.0,7.4,23.4,"AS,NBA1",1951,False
16.0,John Oldham,27.0,FTW,,68.0,0.392,0.489,0.0,2.0,2.0,,1951,False
17.0,Fred Schaus,25.0,FTW,,68.0,0.454,0.527,5.1,3.4,8.5,AS,1951,False
18.0,Bobby Wanzer,29.0,ROC,,68.0,0.492,0.435,5.6,1.3,6.9,,1951,False
19.0,Cal Christensen,23.0,TRI,SF,67.0,0.401,0.551,0.5,2.7,3.2,,1951,False
20.0,Jack Coleman,26.0,ROC,PF,67.0,0.463,0.23,4.3,2.2,6.5,,1951,False
21.0,Joe Holland,25.0,INO,SF,67.0,0.359,0.231,-1.6,1.8,0.2,,1951,False
22.0,Ralph Beard,23.0,INO,,66.0,0.435,0.341,4.1,2.3,6.5,"AS,NBA1",1951,False
23.0,Vince Boryla,23.0,NYK,SF,66.0,0.485,0.383,6.4,1.0,7.4,AS,1951,False
24.0,Bill Calhoun,23.0,ROC,SG,66.0,0.421,0.451,1.2,1.0,2.2,,1951,False
25.0,Chuck Cooper,24.0,BOS,,66.0,0.428,0.444,1.9,1.4,3.3,,1951,False
26.0,Joe Fulks,29.0,PHW,PF,66.0,0.398,0.325,-0.2,4.5,4.3,"AS,NBA2",1951,False
27.0,Harry Gallatin,23.0,NYK,,66.0,0.491,0.502,5.9,1.7,7.6,AS,1951,False
28.0,Alex Groza,24.0,INO,,66.0,0.552,0.541,14.7,3.3,18.0,"AS,NBA1",1951,False
29.0,Warren Perkins,28.0,TRI,,66.0,0.385,0.456,-0.1,1.9,1.8,,1951,False
30.0,Andy Phillip,28.0,PHW,,66.0,0.462,0.367,4.9,4.8,9.7,AS,1951,False
31.0,George Ratkovicz,28.0,SYR,PF,66.0,0.512,0.69,7.1,2.2,9.3,,1951,False
32.0,Arnie Risen,26.0,ROC,C,66.0,0.475,0.468,6.6,2.8,9.3,,1951,False
