Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Neil Johnston,23.0,PHW,C,70.0,3166.0,25.9,0.534,0.713,13.0,2.3,15.3,0.232,"AS,NBA1",1953,False
2.0,Bob Cousy,24.0,BOS,PG,71.0,2945.0,21.7,0.446,0.445,4.7,2.5,7.2,0.117,"AS,NBA1",1953,False
3.0,Ed Macauley,24.0,BOS,C,69.0,2902.0,24.2,0.543,0.669,12.2,2.3,14.5,0.239,"AS,NBA1",1953,False
4.0,Mel Hutchins,24.0,MLH,C,71.0,2891.0,17.2,0.428,0.35,1.4,5.5,6.9,0.115,AS,1953,False
5.0,Leo Barnhorst,28.0,INO,SF,71.0,2871.0,16.0,0.421,0.25,1.1,3.5,4.6,0.076,AS,1953,False
6.0,Joe Graboski,23.0,INO,C,69.0,2769.0,16.2,0.436,0.642,2.1,3.7,5.8,0.101,,1953,False
7.0,Andy Phillip,30.0,2TM,SG,70.0,2690.0,16.1,0.474,0.479,4.5,2.8,7.2,0.129,"AS,NBA2",1953,False
7.0,Andy Phillip,30.0,PHW,PG,13.0,543.0,19.7,0.489,0.613,1.2,0.4,1.6,0.14,,1953,False
7.0,Andy Phillip,30.0,FTW,SG,57.0,2147.0,15.2,0.47,0.446,3.3,2.4,5.6,0.126,,1953,False
8.0,Paul Seymour,25.0,SYR,SG,67.0,2684.0,16.0,0.485,0.521,5.8,2.9,8.7,0.155,AS,1953,False
9.0,Dolph Schayes,24.0,SYR,PF,71.0,2668.0,25.4,0.495,0.618,8.0,5.1,13.1,0.236,"AS,NBA1",1953,False
10.0,George Mikan,28.0,MNL,C,70.0,2651.0,28.5,0.48,0.453,7.7,6.9,14.6,0.264,"AS,NBA1",1953,False
11.0,Jack Nichols,26.0,MLH,PF,69.0,2626.0,16.8,0.413,0.29,-0.1,4.2,4.1,0.075,,1953,False
12.0,Jack Coleman,28.0,ROC,PF,70.0,2625.0,17.1,0.454,0.278,2.8,3.9,6.7,0.122,,1953,False
13.0,Bobby Wanzer,31.0,ROC,SG,70.0,2577.0,17.2,0.475,0.546,5.2,2.7,7.9,0.147,"AS,NBA2",1953,False
14.0,Slater Martin,27.0,MNL,PG,70.0,2556.0,13.5,0.489,0.453,4.9,3.2,8.2,0.153,AS,1953,False
15.0,Fred Schaus,27.0,FTW,SF,69.0,2541.0,13.2,0.426,0.412,1.3,2.7,4.0,0.076,,1953,False
16.0,George King,24.0,SYR,PG,71.0,2519.0,16.2,0.479,0.696,4.9,3.2,8.1,0.155,,1953,False
17.0,Nat Clifton,30.0,NYK,PF,70.0,2496.0,15.4,0.394,0.432,-1.1,4.4,3.3,0.064,,1953,False
18.0,Paul Walther,25.0,INO,SG,67.0,2468.0,13.2,0.448,0.549,2.7,2.4,5.2,0.1,,1953,False
19.0,Vern Mikkelsen,24.0,MNL,PF,70.0,2465.0,21.6,0.504,0.446,7.2,4.9,12.0,0.235,"AS,NBA2",1953,False
20.0,Bill Tosheff,26.0,INO,PG,67.0,2459.0,12.5,0.412,0.401,0.4,2.4,2.8,0.055,,1953,False
21.0,Red Rocha,29.0,SYR,C,69.0,2454.0,14.4,0.466,0.449,3.3,3.2,6.5,0.126,,1953,False
22.0,Jim Pollard,30.0,MNL,SF,66.0,2403.0,15.9,0.412,0.269,0.2,4.3,4.6,0.091,,1953,False
23.0,George Senesky,30.0,PHW,PG,69.0,2336.0,9.0,0.376,0.301,-0.9,1.2,0.3,0.006,,1953,False
24.0,Bill Sharman,26.0,BOS,SG,71.0,2333.0,19.8,0.521,0.434,8.4,1.4,9.8,0.201,"AS,NBA2",1953,False
