Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Elvin Hayes,24.0,SDR,C,82.0,3665.0,18.3,0.492,0.308,6.1,2.3,6.2,8.5,0.111,AS,1970,False
2.0,Kareem Abdul-Jabbar,22.0,MIL,C,82.0,3534.0,22.5,0.552,0.41,13.1,9.3,4.5,13.8,0.187,"MVP-3,ROY-1,AS,NBA2,DEF2",1970,False
3.0,John Havlicek,29.0,BOS,SG,81.0,3369.0,20.0,0.533,0.365,23.2,6.4,4.2,10.6,0.151,"MVP-10,AS,NBA2,DEF2",1970,False
4.0,Connie Hawkins,27.0,PHO,SF,81.0,3312.0,19.7,0.563,0.512,16.5,8.5,1.6,10.2,0.147,"MVP-5,AS,NBA1",1970,False
5.0,Bill Bridges,30.0,ATL,PF,82.0,3269.0,15.9,0.538,0.484,12.7,4.2,2.4,6.6,0.097,"MVP-8,AS,DEF2",1970,False
6.0,Wes Unseld,23.0,BAL,C,82.0,3234.0,17.8,0.551,0.422,10.9,5.1,6.0,11.1,0.164,MVP-8,1970,False
7.0,Gail Goodrich,26.0,PHO,PG,81.0,3234.0,16.3,0.535,0.483,24.9,5.4,1.3,6.7,0.099,,1970,False
8.0,Clem Haskins,26.0,CHI,SG,82.0,3214.0,16.5,0.499,0.285,27.8,2.8,3.4,6.1,0.092,,1970,False
9.0,Billy Cunningham,26.0,PHI,SF,81.0,3194.0,21.0,0.524,0.409,14.9,5.6,4.8,10.3,0.155,"MVP-5,AS,NBA1",1970,False
10.0,Bob Love,27.0,CHI,PF,82.0,3123.0,16.1,0.537,0.382,6.7,5.6,3.0,8.6,0.132,MVP-16,1970,False
11.0,Jerry West,31.0,LAL,PG,74.0,3106.0,24.6,0.572,0.469,27.1,11.5,3.7,15.2,0.234,"MVP-2,AS,NBA1,DEF1",1970,False
12.0,Lou Hudson,25.0,ATL,SF,80.0,3091.0,19.0,0.576,0.288,12.8,9.8,1.3,11.1,0.172,"MVP-7,AS,NBA2",1970,False
13.0,Willis Reed,27.0,NYK,C,81.0,3089.0,20.3,0.552,0.335,7.1,7.2,7.5,14.6,0.227,"MVP-1,AS,NBA1,DEF1",1970,False
14.0,Earl Monroe,25.0,BAL,PG,82.0,3051.0,17.3,0.523,0.412,17.4,5.1,3.2,8.3,0.13,MVP-16,1970,False
15.0,Walt Frazier,24.0,NYK,PG,77.0,3040.0,21.1,0.575,0.472,27.0,8.6,6.4,15.0,0.236,"MVP-4,AS,NBA1,DEF1",1970,False
16.0,Hal Greer,33.0,PHI,SG,80.0,3024.0,15.8,0.506,0.279,17.7,3.3,3.0,6.2,0.099,AS,1970,False
17.0,Jon McGlocklin,26.0,MIL,SG,82.0,2966.0,14.8,0.559,0.164,13.2,6.2,2.1,8.2,0.133,,1970,False
18.0,Dick Van Arsdale,26.0,PHO,SG,77.0,2966.0,16.0,0.579,0.493,15.6,8.0,0.9,9.0,0.145,AS,1970,False
19.0,Bob Rule,25.0,SEA,C,80.0,2959.0,17.7,0.506,0.318,7.3,3.4,1.8,5.2,0.084,AS,1970,False
20.0,Jack Marin,25.0,BAL,SF,82.0,2947.0,16.0,0.535,0.249,9.7,5.0,3.3,8.3,0.136,,1970,False
21.0,Gus Johnson,31.0,BAL,PF,78.0,2919.0,16.3,0.483,0.212,11.5,0.9,5.0,5.9,0.097,"AS,NBA2,DEF1",1970,False
22.0,Norm Van Lier,22.0,CIN,PG,81.0,2895.0,9.8,0.454,0.299,20.5,-0.4,2.5,2.1,0.035,,1970,False
23.0,Jimmy Walker,25.0,DET,SG,81.0,2869.0,16.4,0.531,0.316,13.0,5.3,0.9,6.2,0.104,AS,1970,False
24.0,Oscar Robertson,31.0,CIN,PG,69.0,2865.0,21.5,0.577,0.443,27.0,8.7,2.7,11.4,0.191,"MVP-16,AS,NBA2",1970,False
25.0,Jeff Mullins,27.0,SFW,SG,74.0,2861.0,17.0,0.512,0.265,18.9,3.7,3.0,6.8,0.114,AS,1970,False
26.0,Joe Caldwell,28.0,ATL,SG,82.0,2857.0,17.3,0.549,0.415,13.8,6.6,1.3,7.9,0.132,"MVP-12,AS,DEF2",1970,False
27.0,Paul Silas,26.0,PHO,PF,78.0,2836.0,12.8,0.505,0.512,9.5,1.8,1.5,3.3,0.056,,1970,False
28.0,Lenny Wilkens,32.0,SEA,PG,75.0,2802.0,17.3,0.509,0.522,31.3,3.0,1.9,4.9,0.084,AS,1970,False
29.0,Dick Barnett,33.0,NYK,SG,82.0,2772.0,12.9,0.516,0.313,13.7,3.1,3.7,6.8,0.117,,1970,False
30.0,Archie Clark,28.0,PHI,PG,76.0,2772.0,16.3,0.546,0.331,17.7,5.5,2.6,8.1,0.14,,1970,False
31.0,Flynn Robinson,28.0,MIL,PG,81.0,2762.0,19.3,0.549,0.352,21.6,6.9,2.4,9.3,0.162,AS,1970,False
32.0,Walt Hazzard,27.0,ATL,PG,82.0,2757.0,15.7,0.522,0.313,25.9,3.5,1.5,5.0,0.088,MVP-12,1970,False
33.0,Chet Walker,29.0,CHI,SF,78.0,2726.0,18.8,0.559,0.455,10.2,7.0,2.7,9.8,0.172,AS,1970,False
34.0,Clyde Lee,25.0,SFW,C,82.0,2641.0,12.0,0.473,0.365,4.0,0.0,3.5,3.5,0.064,,1970,False
35.0,Dave DeBusschere,29.0,NYK,PF,79.0,2627.0,14.8,0.482,0.237,9.5,0.7,5.8,6.6,0.12,"AS,DEF1",1970,False
36.0,Jim Davis,28.0,ATL,C,82.0,2623.0,14.4,0.515,0.337,11.4,2.6,1.7,4.3,0.079,,1970,False
37.0,Bob Boozer,32.0,SEA,PF,82.0,2549.0,15.2,0.545,0.318,5.8,4.4,1.5,5.9,0.111,,1970,False
38.0,Bob Weiss,27.0,CHI,PG,82.0,2544.0,12.5,0.488,0.296,24.4,1.1,2.4,3.6,0.068,,1970,False
39.0,Tom Van Arsdale,26.0,CIN,SF,71.0,2544.0,16.3,0.509,0.358,8.7,3.1,1.8,5.0,0.093,AS,1970,False
40.0,Otto Moore,23.0,DET,C,81.0,2523.0,14.3,0.511,0.379,5.5,2.0,1.5,3.5,0.067,MVP-16,1970,False
41.0,Darrall Imhoff,31.0,PHI,C,79.0,2474.0,15.5,0.571,0.416,10.4,4.9,3.3,8.2,0.159,,1970,False
42.0,Stu Lantz,23.0,SDR,PG,82.0,2471.0,12.9,0.501,0.352,14.6,1.9,2.7,4.7,0.091,,1970,False
43.0,Bob Dandridge,22.0,MIL,SF,81.0,2461.0,15.2,0.528,0.295,14.6,3.2,2.8,6.0,0.116,,1970,False
44.0,Jim Washington,26.0,PHI,PF,79.0,2459.0,13.0,0.523,0.324,5.1,2.5,2.9,5.5,0.107,,1970,False
45.0,Connie Dierking,33.0,CIN,C,76.0,2448.0,13.6,0.462,0.246,9.4,-0.7,2.2,1.5,0.029,,1970,False
46.0,Dick Snyder,25.0,2TM,,82.0,2437.0,14.3,0.566,0.241,18.7,4.9,1.3,6.2,0.121,,1970,False
46.0,Dick Snyder,25.0,PHO,,6.0,147.0,8.3,0.526,0.178,7.9,0.1,0.0,0.2,0.058,,1970,False
46.0,Dick Snyder,25.0,SEA,SG,76.0,2290.0,14.7,0.568,0.244,19.4,4.8,1.2,6.0,0.125,,1970,False
47.0,Ron Williams,25.0,SFW,PG,80.0,2435.0,14.4,0.494,0.322,24.5,1.8,2.6,4.4,0.086,,1970,False
48.0,Happy Hairston,27.0,2TM,PF,70.0,2427.0,18.4,0.559,0.424,6.9,5.6,3.2,8.8,0.174,,1970,False
48.0,Happy Hairston,27.0,DET,PF,15.0,282.0,19.5,0.608,0.612,5.6,1.0,0.2,1.1,0.191,,1970,False
48.0,Happy Hairston,27.0,LAL,PF,55.0,2145.0,18.3,0.553,0.402,7.1,4.6,3.1,7.7,0.172,,1970,False
49.0,Jerry Lucas,29.0,2TM,PF,67.0,2420.0,17.9,0.554,0.319,9.9,4.2,3.7,7.9,0.157,,1970,False
49.0,Jerry Lucas,29.0,CIN,PF,4.0,118.0,15.6,0.538,0.2,9.6,0.1,0.1,0.3,0.111,,1970,False
49.0,Jerry Lucas,29.0,SFW,PF,63.0,2302.0,18.1,0.555,0.325,9.9,4.1,3.6,7.6,0.159,,1970,False
50.0,Howard Komives,28.0,DET,PG,82.0,2418.0,10.6,0.467,0.267,17.3,-0.1,0.9,0.9,0.017,,1970,False
51.0,Joe Ellis,25.0,SFW,SF,76.0,2380.0,13.0,0.448,0.221,8.5,-1.7,2.7,1.0,0.019,,1970,False
