Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Wilt Chamberlain,30.0,PHI,C,81.0,3682.0,26.5,0.637,0.761,21.7,14.8,7.0,21.9,0.285,"MVP-1,AS,NBA1",1967,False
2.0,Jerry Lucas,26.0,CIN,PF,81.0,3558.0,16.9,0.508,0.286,9.7,4.1,3.2,7.3,0.098,"AS,NBA2",1967,False
3.0,Oscar Robertson,28.0,CIN,PG,79.0,3468.0,25.5,0.583,0.496,35.1,14.7,2.7,17.4,0.241,"MVP-4,AS,NBA1",1967,False
4.0,Bill Russell,32.0,BOS,C,81.0,3297.0,18.6,0.5,0.537,17.3,3.0,9.2,12.2,0.178,"MVP-3,AS,NBA2",1967,False
5.0,Rick Barry,22.0,SFW,SF,78.0,3175.0,24.2,0.531,0.38,13.6,10.1,4.3,14.4,0.218,"MVP-5,AS,NBA1",1967,False
6.0,Bill Bridges,27.0,STL,PF,79.0,3130.0,16.8,0.514,0.473,9.5,4.3,3.3,7.6,0.117,AS,1967,False
7.0,Hal Greer,30.0,PHI,SG,80.0,3086.0,15.0,0.51,0.306,12.7,5.0,2.6,7.6,0.118,"AS,NBA2",1967,False
8.0,Guy Rodgers,31.0,CHI,PG,81.0,3063.0,17.9,0.46,0.345,40.1,1.3,4.9,6.2,0.097,AS,1967,False
9.0,Walt Bellamy,27.0,NYK,C,79.0,3010.0,18.4,0.56,0.535,9.2,7.4,1.4,8.8,0.14,,1967,False
10.0,Lenny Wilkens,29.0,STL,PG,78.0,2974.0,15.6,0.524,0.563,19.6,5.2,2.4,7.6,0.123,AS,1967,False
11.0,Jerry Sloan,24.0,CHI,SG,80.0,2942.0,14.2,0.496,0.352,7.8,3.1,3.4,6.5,0.106,AS,1967,False
12.0,Leroy Ellis,26.0,BAL,C,81.0,2938.0,13.6,0.466,0.245,7.5,0.7,2.5,3.2,0.052,,1967,False
13.0,Dave DeBusschere,26.0,DET,SF,78.0,2897.0,16.2,0.473,0.401,10.4,1.6,4.3,5.9,0.097,AS,1967,False
14.0,Dick Van Arsdale,23.0,NYK,SG,79.0,2892.0,13.3,0.524,0.558,10.8,4.3,1.0,5.2,0.087,,1967,False
15.0,Willis Reed,24.0,NYK,PF,78.0,2824.0,19.7,0.538,0.375,6.3,6.5,1.3,7.9,0.134,"AS,NBA2",1967,False
16.0,Dave Bing,23.0,DET,PG,80.0,2762.0,16.5,0.475,0.243,18.1,2.0,3.2,5.3,0.092,ROY-1,1967,False
17.0,Nate Thurmond,25.0,SFW,C,65.0,2761.0,17.4,0.48,0.417,7.5,1.7,5.6,7.2,0.125,"MVP-2,AS",1967,False
18.0,Darrall Imhoff,28.0,LAL,C,81.0,2725.0,13.6,0.498,0.265,9.8,2.0,3.0,5.0,0.089,AS,1967,False
19.0,Elgin Baylor,32.0,LAL,SF,70.0,2706.0,20.2,0.491,0.326,11.3,3.5,2.7,6.2,0.109,"AS,NBA1",1967,False
20.0,Chet Walker,26.0,PHI,SF,81.0,2691.0,17.9,0.557,0.505,8.8,7.4,2.7,10.1,0.181,AS,1967,False
21.0,Jerry West,28.0,LAL,PG,66.0,2670.0,22.7,0.559,0.494,23.1,9.4,2.3,11.7,0.21,"AS,NBA1",1967,False
22.0,Adrian Smith,30.0,CIN,SG,81.0,2636.0,12.6,0.512,0.331,9.5,4.0,1.0,5.1,0.092,,1967,False
23.0,Gus Johnson,28.0,BAL,SF,73.0,2626.0,17.6,0.489,0.278,10.5,2.7,2.3,5.0,0.092,,1967,False
24.0,John Havlicek,26.0,BOS,SF,81.0,2602.0,19.2,0.5,0.286,15.6,4.2,4.1,8.3,0.154,AS,1967,False
25.0,Kevin Loughery,26.0,BAL,SG,76.0,2577.0,13.7,0.464,0.315,15.2,0.9,1.7,2.5,0.047,,1967,False
26.0,Bailey Howell,30.0,BOS,PF,81.0,2503.0,19.5,0.559,0.379,5.9,8.0,3.8,11.8,0.226,AS,1967,False
27.0,Bob Boozer,29.0,CHI,PF,80.0,2451.0,18.4,0.549,0.418,5.3,6.6,2.9,9.4,0.184,,1967,False
28.0,Lou Hudson,22.0,STL,SF,80.0,2446.0,15.3,0.5,0.246,5.9,3.4,1.5,4.9,0.097,ROY-2,1967,False
29.0,K.C. Jones,34.0,BOS,PG,78.0,2446.0,7.7,0.445,0.412,18.2,0.1,3.5,3.7,0.072,,1967,False
30.0,Ray Scott,28.0,2TM,C,72.0,2446.0,14.6,0.449,0.32,9.0,-0.4,2.8,2.4,0.047,,1967,False
30.0,Ray Scott,28.0,DET,C,45.0,1477.0,12.7,0.428,0.302,7.8,-1.1,1.9,0.8,0.024,,1967,False
30.0,Ray Scott,28.0,BAL,PF,27.0,969.0,17.5,0.48,0.346,10.8,0.7,0.9,1.6,0.08,,1967,False
31.0,Happy Hairston,24.0,CIN,SF,79.0,2442.0,13.8,0.519,0.397,3.4,3.7,1.4,5.1,0.101,,1967,False
32.0,Paul Neumann,29.0,SFW,PG,78.0,2421.0,13.0,0.501,0.428,17.4,2.8,3.0,5.8,0.115,,1967,False
33.0,Eddie Miles,26.0,DET,SG,81.0,2419.0,14.9,0.471,0.248,11.4,1.4,2.3,3.7,0.073,,1967,False
34.0,Luke Jackson,25.0,PHI,PF,81.0,2377.0,12.3,0.487,0.296,5.7,1.6,2.6,4.2,0.084,,1967,False
35.0,Sam Jones,33.0,BOS,SG,72.0,2325.0,18.5,0.508,0.264,13.8,4.4,3.1,7.5,0.155,NBA2,1967,False
36.0,Howard Komives,25.0,NYK,PG,65.0,2282.0,13.0,0.461,0.254,23.2,0.7,0.8,1.5,0.031,,1967,False
37.0,Richie Guerin,34.0,STL,SG,80.0,2275.0,14.4,0.502,0.46,20.6,3.1,1.6,4.7,0.099,,1967,False
