Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Wilt Chamberlain,24.0,PHW,C,79.0,3773.0,27.8,0.519,0.429,12.3,6.5,18.8,0.24,"MVP-4,AS,NBA1",1961,False
2.0,Bill Russell,26.0,BOS,C,78.0,3458.0,18.1,0.454,0.375,1.7,11.3,13.0,0.181,"MVP-1,AS,NBA2",1961,False
3.0,Gene Shue,29.0,DET,PG,78.0,3361.0,15.9,0.495,0.351,6.2,1.4,7.6,0.108,"MVP-10,AS,NBA2",1961,False
4.0,Elgin Baylor,26.0,LAL,SF,73.0,3133.0,28.2,0.498,0.398,9.1,5.7,14.8,0.227,"MVP-3,AS,NBA1",1961,False
5.0,Oscar Robertson,22.0,CIN,PG,71.0,3032.0,25.9,0.555,0.496,13.0,0.2,13.2,0.21,"MVP-5,ROY-1,AS,NBA1",1961,False
6.0,Bob Pettit,28.0,STL,PF,76.0,3027.0,25.2,0.511,0.467,8.4,6.5,14.9,0.237,"MVP-2,AS,NBA1",1961,False
7.0,Richie Guerin,28.0,NYK,SG,79.0,3023.0,17.8,0.472,0.405,4.3,1.1,5.4,0.086,"MVP-15,AS",1961,False
8.0,Dolph Schayes,32.0,SYR,PF,79.0,3007.0,19.2,0.482,0.491,5.0,3.5,8.5,0.136,"MVP-8,AS,NBA2",1961,False
9.0,Willie Naulls,26.0,NYK,SF,79.0,2976.0,19.1,0.48,0.265,4.6,1.2,5.7,0.092,"MVP-16,AS",1961,False
10.0,Bailey Howell,24.0,DET,PF,77.0,2952.0,21.2,0.552,0.617,10.1,1.6,11.7,0.19,"MVP-9,AS",1961,False
11.0,Paul Arizin,32.0,PHW,SF,79.0,2935.0,17.1,0.506,0.418,6.7,3.0,9.7,0.159,"MVP-16,AS",1961,False
12.0,Jack Twyman,26.0,CIN,SF,79.0,2920.0,19.6,0.532,0.339,9.4,0.1,9.6,0.157,MVP-11,1961,False
13.0,Guy Rodgers,25.0,PHW,PG,78.0,2905.0,13.5,0.431,0.292,0.8,4.1,4.8,0.08,,1961,False
14.0,Jerry West,22.0,LAL,SG,79.0,2797.0,16.0,0.468,0.393,3.1,3.5,6.6,0.113,"MVP-12,AS",1961,False
15.0,Hal Greer,24.0,SYR,SG,79.0,2763.0,16.3,0.499,0.285,5.4,2.5,7.9,0.137,AS,1961,False
16.0,Tom Gola,28.0,PHW,SG,74.0,2712.0,13.3,0.494,0.299,3.5,3.3,6.8,0.121,AS,1961,False
17.0,Cliff Hagan,29.0,STL,SF,77.0,2701.0,20.1,0.503,0.313,6.4,4.4,10.8,0.193,"MVP-14,AS",1961,False
18.0,Red Kerr,28.0,SYR,C,79.0,2676.0,13.7,0.445,0.283,0.8,3.1,3.9,0.07,,1961,False
19.0,Bucky Bockhorn,27.0,CIN,SG,79.0,2669.0,10.4,0.431,0.196,0.1,0.1,0.3,0.005,,1961,False
20.0,Rudy LaRusso,23.0,LAL,PF,79.0,2593.0,14.8,0.493,0.412,3.8,3.1,6.9,0.128,,1961,False
21.0,Johnny McCarthy,26.0,STL,PG,79.0,2519.0,8.3,0.387,0.303,-1.5,3.4,1.9,0.036,,1961,False
22.0,Bob Cousy,32.0,BOS,PG,76.0,2468.0,17.4,0.436,0.327,0.9,6.3,7.2,0.14,"MVP-6,AS,NBA1",1961,False
23.0,Tom Heinsohn,26.0,BOS,PF,74.0,2256.0,18.4,0.45,0.271,1.4,5.2,6.6,0.141,"MVP-7,AS,NBA2",1961,False
24.0,Dick Garmaker,28.0,NYK,PG,71.0,2238.0,13.7,0.502,0.38,4.1,0.6,4.7,0.101,,1961,False
25.0,Wayne Embry,23.0,CIN,C,79.0,2233.0,16.2,0.49,0.326,3.3,0.1,3.4,0.073,AS,1961,False
26.0,Hot Rod Hundley,26.0,LAL,PG,79.0,2179.0,12.2,0.413,0.321,-0.7,2.6,1.9,0.041,AS,1961,False
27.0,Don Ohl,24.0,DET,SG,79.0,2172.0,11.7,0.437,0.256,0.4,0.8,1.2,0.026,,1961,False
28.0,Larry Costello,29.0,SYR,PG,75.0,2167.0,17.2,0.546,0.4,6.3,2.3,8.6,0.19,"AS,NBA2",1961,False
