Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Bill Russell,24.0,BOS,C,70.0,2979.0,20.7,0.493,0.429,4.7,8.2,12.9,0.208,"MVP-2,AS,NBA1",1959,False
2.0,Bob Pettit,26.0,STL,PF,72.0,2873.0,28.2,0.519,0.536,11.3,3.5,14.8,0.246,"MVP-1,AS,NBA1",1959,False
3.0,Elgin Baylor,24.0,MNL,SF,70.0,2855.0,23.6,0.488,0.462,7.0,2.8,9.8,0.165,"MVP-3,ROY-1,AS,NBA1",1959,False
4.0,Paul Arizin,30.0,PHW,SF,70.0,2799.0,21.9,0.519,0.492,10.0,3.0,13.0,0.223,"MVP-5,AS,NBA2",1959,False
5.0,Larry Costello,27.0,SYR,PG,70.0,2750.0,15.0,0.503,0.368,5.5,3.0,8.5,0.149,"MVP-7,AS",1959,False
6.0,Gene Shue,27.0,DET,PG,72.0,2745.0,14.6,0.458,0.352,3.1,2.6,5.6,0.098,"MVP-14,AS",1959,False
7.0,Woody Sauldsberry,24.0,PHW,C,72.0,2743.0,10.8,0.381,0.128,-3.8,3.3,-0.6,-0.01,AS,1959,False
8.0,Jack Twyman,24.0,CIN,SF,72.0,2713.0,21.3,0.479,0.33,6.3,1.0,7.3,0.129,"MVP-10,AS",1959,False
9.0,Cliff Hagan,27.0,STL,SF,72.0,2702.0,22.7,0.516,0.378,9.0,2.8,11.7,0.209,"MVP-9,AS,NBA2",1959,False
10.0,Red Kerr,26.0,SYR,C,72.0,2671.0,19.4,0.494,0.322,5.2,3.6,8.7,0.157,AS,1959,False
11.0,Dolph Schayes,30.0,SYR,PF,72.0,2645.0,21.0,0.488,0.467,5.8,3.6,9.4,0.171,"MVP-6,AS,NBA2",1959,False
12.0,Richie Guerin,26.0,NYK,SG,71.0,2558.0,19.0,0.509,0.483,6.7,1.7,8.4,0.158,"MVP-11,AS,NBA2",1959,False
13.0,Slater Martin,33.0,STL,PG,71.0,2504.0,9.3,0.42,0.36,0.4,2.0,2.4,0.046,"AS,NBA2",1959,False
14.0,Kenny Sears,25.0,NYK,PF,71.0,2498.0,22.6,0.59,0.587,11.9,1.5,13.3,0.256,"MVP-8,AS",1959,False
15.0,Dick Garmaker,26.0,MNL,SG,72.0,2493.0,12.5,0.47,0.416,3.1,1.5,4.6,0.088,AS,1959,False
16.0,Joe Graboski,29.0,PHW,PF,72.0,2482.0,13.9,0.415,0.323,-0.5,3.3,2.8,0.053,,1959,False
17.0,Bob Cousy,30.0,BOS,PG,65.0,2403.0,19.9,0.454,0.306,3.3,5.4,8.7,0.174,"MVP-4,AS,NBA1",1959,False
18.0,Bill Sharman,32.0,BOS,SG,72.0,2382.0,16.8,0.476,0.267,4.5,3.1,7.6,0.154,"AS,NBA1",1959,False
19.0,Walter Dukes,28.0,DET,C,72.0,2338.0,13.9,0.423,0.5,-0.1,3.3,3.2,0.066,,1959,False
20.0,Tom Gola,26.0,PHW,SG,64.0,2333.0,17.4,0.484,0.462,3.8,3.6,7.4,0.153,MVP-11,1959,False
21.0,Bucky Bockhorn,25.0,CIN,SG,71.0,2251.0,11.1,0.423,0.254,0.3,0.8,1.1,0.023,,1959,False
22.0,Jack McMahon,30.0,STL,SG,72.0,2235.0,7.5,0.389,0.225,-1.0,1.6,0.6,0.013,,1959,False
23.0,Vern Mikkelsen,30.0,MNL,PF,72.0,2139.0,15.9,0.468,0.393,2.9,1.6,4.5,0.102,,1959,False
24.0,Tom Heinsohn,24.0,BOS,PF,66.0,2089.0,17.9,0.455,0.328,2.5,4.1,6.5,0.15,,1959,False
25.0,Dick McGuire,33.0,DET,PG,71.0,2063.0,16.5,0.499,0.475,3.8,3.1,6.9,0.16,"MVP-11,AS",1959,False
26.0,Willie Naulls,24.0,NYK,SF,68.0,2061.0,16.5,0.442,0.29,1.2,1.4,2.6,0.061,,1959,False
27.0,Phil Jordon,25.0,DET,PF,72.0,2058.0,16.8,0.468,0.313,2.8,2.4,5.2,0.121,,1959,False
28.0,Frank Ramsey,27.0,BOS,SG,72.0,2013.0,15.7,0.459,0.43,2.5,3.5,5.9,0.142,,1959,False
29.0,Carl Braun,31.0,NYK,PG,72.0,1959.0,15.2,0.483,0.319,3.2,1.3,4.5,0.111,,1959,False
30.0,Ed Conlin,25.0,2TM,SG,72.0,1955.0,12.3,0.423,0.308,0.1,2.0,2.0,0.05,,1959,False
30.0,Ed Conlin,25.0,SYR,,57.0,1601.0,11.7,0.419,0.295,-0.1,1.6,1.5,0.044,,1959,False
30.0,Ed Conlin,25.0,DET,SG,15.0,354.0,15.1,0.437,0.36,0.2,0.4,0.5,0.074,,1959,False
31.0,Larry Foust,30.0,MNL,C,72.0,1933.0,16.1,0.473,0.475,2.7,1.5,4.2,0.105,AS,1959,False
32.0,Jack George,30.0,2TM,PG,71.0,1881.0,11.0,0.405,0.301,-0.5,1.9,1.5,0.038,,1959,False
32.0,Jack George,30.0,PHW,PG,46.0,1387.0,11.0,0.399,0.303,-0.6,1.6,1.1,0.038,,1959,False
32.0,Jack George,30.0,NYK,PG,25.0,494.0,10.9,0.425,0.295,0.1,0.3,0.4,0.037,,1959,False
33.0,George Yardley,30.0,2TM,SF,61.0,1839.0,20.5,0.495,0.391,5.0,1.8,6.8,0.177,AS,1959,False
33.0,George Yardley,30.0,DET,SF,46.0,1419.0,20.5,0.488,0.375,3.6,1.4,5.0,0.168,,1959,False
33.0,George Yardley,30.0,SYR,SF,15.0,420.0,20.5,0.525,0.457,1.4,0.4,1.8,0.207,,1959,False
34.0,Johnny McCarthy,24.0,CIN,PG,47.0,1827.0,10.5,0.413,0.265,-0.1,0.6,0.5,0.014,,1959,False
35.0,Earl Lloyd,30.0,DET,SF,72.0,1796.0,9.7,0.403,0.272,-0.8,2.1,1.3,0.034,,1959,False
36.0,Al Bianchi,26.0,SYR,PG,72.0,1779.0,9.5,0.425,0.272,0.3,1.5,1.8,0.048,MVP-14,1959,False
37.0,Chuck Share,31.0,STL,C,72.0,1713.0,12.1,0.469,0.483,1.3,1.9,3.3,0.091,,1959,False
38.0,Jim Loscutoff,28.0,BOS,SF,66.0,1680.0,7.2,0.378,0.122,-1.9,2.7,0.9,0.025,,1959,False
39.0,Dave Piontek,24.0,CIN,PF,72.0,1674.0,13.4,0.42,0.279,-0.1,0.6,0.5,0.014,,1959,False
40.0,Hot Rod Hundley,24.0,MNL,PG,71.0,1664.0,12.8,0.418,0.303,0.1,1.2,1.3,0.036,,1959,False
41.0,Hal Greer,22.0,SYR,SG,68.0,1625.0,13.3,0.498,0.259,3.2,1.3,4.5,0.132,,1959,False
42.0,Jim Palmer,25.0,CIN,C,67.0,1624.0,13.9,0.465,0.389,1.8,0.6,2.4,0.07,,1959,False
43.0,Clyde Lovellette,29.0,STL,C,70.0,1599.0,22.3,0.507,0.282,4.7,1.8,6.5,0.194,,1959,False
44.0,Slick Leonard,26.0,MNL,PG,58.0,1598.0,10.9,0.427,0.29,0.4,1.0,1.5,0.044,,1959,False
45.0,Wayne Embry,21.0,CIN,C,66.0,1590.0,16.3,0.446,0.447,1.2,0.7,1.9,0.057,,1959,False
46.0,Ray Felix,28.0,NYK,C,72.0,1588.0,14.0,0.445,0.459,1.0,1.0,2.0,0.061,,1959,False
47.0,Charlie Tyra,23.0,NYK,C,69.0,1586.0,12.0,0.442,0.314,0.6,0.9,1.5,0.046,,1959,False
48.0,Jim Krebs,23.0,MNL,C,72.0,1578.0,12.4,0.432,0.181,0.3,1.2,1.5,0.044,,1959,False
49.0,Guy Rodgers,23.0,PHW,PG,45.0,1565.0,13.0,0.413,0.209,0.1,2.3,2.4,0.073,,1959,False
50.0,Mike Farmer,22.0,NYK,SF,72.0,1545.0,7.9,0.402,0.199,-0.6,0.8,0.1,0.004,,1959,False
51.0,Bob Hopkins,24.0,SYR,PF,67.0,1518.0,14.4,0.468,0.383,1.8,1.7,3.5,0.109,,1959,False
52.0,Joe Holup,24.0,DET,SF,68.0,1502.0,10.4,0.427,0.345,0.2,1.6,1.8,0.056,,1959,False
53.0,Sam Jones,25.0,BOS,SG,71.0,1466.0,18.0,0.482,0.279,2.6,2.7,5.3,0.173,,1959,False
54.0,Frank Selvy,26.0,NYK,SG,68.0,1448.0,13.8,0.463,0.433,1.7,0.7,2.4,0.079,,1959,False
55.0,Dick Farley,26.0,DET,SG,70.0,1280.0,12.9,0.463,0.415,1.4,1.3,2.8,0.104,,1959,False
56.0,Archie Dees,22.0,CIN,PF,68.0,1252.0,13.6,0.429,0.363,0.2,0.4,0.7,0.025,,1959,False
57.0,Boo Ellis,22.0,MNL,PF,72.0,1202.0,14.1,0.484,0.38,1.6,0.9,2.5,0.101,,1959,False
58.0,Al Ferrari,25.0,STL,SG,72.0,1189.0,9.7,0.437,0.517,0.6,0.9,1.4,0.058,,1959,False
59.0,Andy Johnson,26.0,PHW,SF,67.0,1158.0,10.5,0.421,0.41,0.0,1.3,1.3,0.053,,1959,False
60.0,Ed Fleming,25.0,MNL,SG,71.0,1132.0,13.7,0.459,0.453,1.1,0.9,2.0,0.084,,1959,False
61.0,Med Park,25.0,2TM,SG,62.0,1126.0,13.0,0.474,0.416,1.4,0.5,1.9,0.081,,1959,False
61.0,Med Park,25.0,STL,SG,29.0,228.0,13.2,0.455,0.286,0.2,0.2,0.4,0.086,,1959,False
61.0,Med Park,25.0,CIN,SG,33.0,898.0,13.0,0.48,0.455,1.2,0.3,1.5,0.08,,1959,False
62.0,Si Green,25.0,2TM,PG,46.0,1109.0,11.5,0.408,0.386,-0.3,0.7,0.4,0.017,,1959,False
62.0,Si Green,25.0,CIN,,20.0,666.0,13.1,0.417,0.272,0.0,0.3,0.3,0.02,,1959,False
62.0,Si Green,25.0,STL,PG,26.0,443.0,9.1,0.394,0.592,-0.3,0.4,0.1,0.011,,1959,False
63.0,Vern Hatton,23.0,2TM,PG,64.0,1109.0,9.0,0.404,0.251,-0.5,0.7,0.3,0.011,,1959,False
63.0,Vern Hatton,23.0,CIN,,22.0,657.0,5.2,0.362,0.246,-0.8,0.2,-0.6,-0.046,,1959,False
63.0,Vern Hatton,23.0,PHW,PG,42.0,452.0,14.5,0.445,0.256,0.3,0.6,0.9,0.095,,1959,False
64.0,Togo Palazzi,26.0,SYR,SF,71.0,1053.0,14.7,0.437,0.258,0.5,1.1,1.7,0.076,,1959,False
65.0,Jack Parr,22.0,CIN,C,66.0,1037.0,7.9,0.386,0.238,-0.7,0.4,-0.3,-0.014,,1959,False
66.0,Ernie Beck,27.0,PHW,SG,70.0,1017.0,10.4,0.413,0.156,-0.2,1.1,0.9,0.045,,1959,False
67.0,Hub Reed,22.0,STL,C,65.0,950.0,11.5,0.467,0.224,0.8,0.9,1.7,0.088,,1959,False
68.0,Chuck Noble,27.0,DET,SG,65.0,939.0,10.6,0.378,0.202,-1.5,1.0,-0.5,-0.024,,1959,False
69.0,Ron Sobie,24.0,NYK,PG,50.0,857.0,13.5,0.436,0.333,0.4,0.5,0.9,0.05,,1959,False
70.0,Steve Hamilton,24.0,MNL,SF,67.0,847.0,9.6,0.427,0.371,0.1,0.6,0.7,0.037,,1959,False
71.0,Guy Sparrow,26.0,2TM,PF,67.0,842.0,8.9,0.36,0.34,-1.6,0.7,-0.9,-0.051,,1959,False
71.0,Guy Sparrow,26.0,NYK,,44.0,607.0,8.8,0.355,0.318,-1.3,0.4,-0.9,-0.072,,1959,False
71.0,Guy Sparrow,26.0,PHW,PF,23.0,235.0,9.2,0.376,0.408,-0.3,0.3,0.0,0.003,,1959,False
72.0,Win Wilfong,25.0,STL,PG,63.0,741.0,8.3,0.405,0.288,-0.3,0.5,0.2,0.015,,1959,False
73.0,Connie Dierking,22.0,SYR,C,64.0,726.0,10.7,0.417,0.483,-0.1,0.9,0.7,0.049,,1959,False
74.0,Bennie Swain,25.0,BOS,PF,58.0,708.0,12.3,0.453,0.451,0.5,1.4,1.9,0.128,,1959,False
75.0,Shellie McMillon,22.0,DET,PF,48.0,700.0,16.1,0.462,0.36,0.7,1.0,1.7,0.119,,1959,False
76.0,George Dempsey,29.0,2TM,PG,57.0,694.0,14.6,0.506,0.493,1.4,0.8,2.2,0.152,,1959,False
76.0,George Dempsey,29.0,PHW,PG,23.0,284.0,15.0,0.531,0.44,0.6,0.4,1.0,0.168,,1959,False
76.0,George Dempsey,29.0,SYR,PG,34.0,410.0,14.4,0.494,0.521,0.7,0.5,1.2,0.141,,1959,False
77.0,Phil Rollins,25.0,2TM,,44.0,691.0,13.1,0.423,0.39,0.2,0.5,0.7,0.048,,1959,False
77.0,Phil Rollins,25.0,PHW,,23.0,251.0,12.5,0.403,0.517,0.0,0.3,0.3,0.055,,1959,False
77.0,Phil Rollins,25.0,CIN,PG,21.0,440.0,13.4,0.437,0.313,0.2,0.2,0.4,0.044,,1959,False
78.0,Larry Staverman,22.0,CIN,PF,57.0,681.0,15.2,0.513,0.274,1.3,0.3,1.6,0.112,,1959,False
79.0,Gene Conley,28.0,BOS,PF,50.0,663.0,8.8,0.36,0.244,-1.0,1.4,0.4,0.025,,1959,False
80.0,K.C. Jones,26.0,BOS,PG,49.0,609.0,9.5,0.385,0.354,-0.4,1.1,0.8,0.06,,1959,False
81.0,Lou Tsioropoulos,28.0,BOS,SF,35.0,488.0,5.6,0.354,0.174,-0.8,0.7,0.0,-0.005,,1959,False
82.0,Neil Johnston,29.0,PHW,C,28.0,393.0,15.6,0.437,0.537,0.2,0.6,0.7,0.091,,1959,False
83.0,Tom Marshall,28.0,CIN,SF,18.0,272.0,7.7,0.349,0.367,-0.3,0.1,-0.3,-0.044,,1959,False
84.0,Barney Cable,23.0,DET,PF,31.0,271.0,12.3,0.393,0.23,-0.2,0.3,0.1,0.017,,1959,False
85.0,Paul Seymour,31.0,SYR,SG,21.0,266.0,11.0,0.406,0.296,0.0,0.3,0.3,0.046,,1959,False
86.0,Lennie Rosenbluth,26.0,PHW,SF,29.0,205.0,8.9,0.339,0.2,-0.8,0.2,-0.6,-0.135,,1959,False
87.0,Ed Macauley,30.0,STL,C,14.0,196.0,7.6,0.36,0.467,-0.3,0.2,-0.2,-0.041,,1959,False
88.0,Pete Brennan,22.0,NYK,,16.0,136.0,7.2,0.37,0.581,-0.2,0.1,-0.1,-0.03,,1959,False
89.0,Jerry Bird,23.0,NYK,,11.0,45.0,12.9,0.385,0.031,-0.1,0.0,0.0,-0.043,,1959,False
90.0,Dave Gambee,21.0,STL,SF,2.0,7.0,11.5,1.0,0.0,0.0,0.0,0.0,0.261,,1959,False
91.0,Tommy Kearns,22.0,SYR,,1.0,7.0,8.8,1.0,0.0,0.0,0.0,0.0,0.23,,1959,False
92.0,Brendan McCann,23.0,NYK,PG,1.0,7.0,-9.9,0.0,0.0,-0.1,0.0,-0.1,-0.447,,1959,False
,League Average,,,,,,,0.457,0.355,,,,,,1959,False
