Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,Neil Johnston,24.0,PHW,C,72.0,3296.0,25.8,0.531,0.586,15.4,3.0,18.3,0.267,"AS,NBA1",1954,False
2.0,Mel Hutchins,25.0,FTW,PF,72.0,2934.0,14.7,0.444,0.303,2.5,3.4,5.8,0.096,AS,1954,False
3.0,Bob Cousy,25.0,BOS,PG,72.0,2857.0,21.2,0.464,0.414,6.5,1.6,8.1,0.137,"AS,NBA1",1954,False
4.0,Ed Macauley,25.0,BOS,C,71.0,2792.0,23.6,0.563,0.583,13.1,1.5,14.6,0.252,"AS,NBA2",1954,False
5.0,Joe Graboski,24.0,PHW,PF,71.0,2759.0,14.6,0.409,0.35,-0.2,2.5,2.3,0.04,,1954,False
6.0,Paul Seymour,26.0,SYR,SG,71.0,2727.0,16.4,0.466,0.439,5.0,4.3,9.3,0.164,"AS,NBA2",1954,False
7.0,Andy Phillip,31.0,FTW,PG,71.0,2705.0,16.1,0.455,0.485,4.2,2.9,7.1,0.125,AS,1954,False
8.0,Larry Foust,25.0,FTW,C,72.0,2693.0,23.0,0.483,0.517,6.5,3.9,10.4,0.186,AS,1954,False
9.0,Harry Gallatin,26.0,NYK,PF,72.0,2690.0,24.4,0.538,0.864,9.0,2.8,11.8,0.21,"AS,NBA1",1954,False
10.0,Ray Felix,23.0,BLB,C,72.0,2672.0,23.1,0.491,0.716,7.6,1.0,8.6,0.155,"ROY-1,AS",1954,False
11.0,Dolph Schayes,25.0,SYR,C,72.0,2655.0,24.5,0.498,0.606,8.4,6.3,14.8,0.267,"AS,NBA1",1954,False
12.0,Jack George,25.0,PHW,PG,71.0,2648.0,12.2,0.396,0.361,-0.3,2.2,1.8,0.034,,1954,False
13.0,Bobby Wanzer,32.0,ROC,SG,72.0,2538.0,18.0,0.468,0.513,5.1,4.0,9.1,0.172,"AS,NBA2",1954,False
14.0,Paul Hoffman,28.0,BLB,PG,72.0,2505.0,13.6,0.404,0.398,0.2,0.9,1.1,0.02,,1954,False
15.0,Jim Pollard,31.0,MNL,SF,71.0,2483.0,16.0,0.423,0.261,1.3,4.5,5.7,0.111,"AS,NBA2",1954,False
16.0,Slater Martin,28.0,MNL,PG,69.0,2472.0,12.1,0.449,0.372,2.9,3.2,6.1,0.118,AS,1954,False
17.0,Bill Sharman,27.0,BOS,SG,72.0,2467.0,18.8,0.531,0.428,9.4,1.0,10.4,0.202,AS,1954,False
