Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
74.0,Curtis Perry,24.0,MIL,PF,67.0,,2094.0,12.0,0.486,0.219,14.9,7.1,1.0,3.8,4.8,0.111,,1973,False
75.0,Bob Weiss,30.0,CHI,PG,82.0,,2086.0,12.0,0.486,0.289,3.6,19.0,1.4,2.9,4.3,0.099,,1973,False
76.0,Lamar Green,25.0,PHO,PF,80.0,,2048.0,10.8,0.469,0.227,17.7,5.4,0.3,1.6,1.9,0.045,,1973,False
77.0,John Block,28.0,2TM,PF,73.0,48.0,2041.0,16.7,0.514,0.427,12.7,8.0,3.2,0.9,4.2,0.099,AS,1973,False
77.0,John Block,28.0,PHI,PF,48.0,48.0,1558.0,17.6,0.511,0.428,12.6,8.9,2.5,0.9,3.4,0.104,,1973,False
77.0,John Block,28.0,KCO,PF,25.0,,483.0,13.9,0.525,0.422,13.0,5.2,0.8,0.0,0.8,0.082,,1973,False
78.0,Corky Calhoun,22.0,PHO,SF,82.0,,2025.0,7.5,0.501,0.213,8.1,4.6,1.1,0.9,2.1,0.049,,1973,False
79.0,Clifford Ray,24.0,CHI,C,73.0,,2009.0,17.4,0.522,0.366,19.9,17.9,2.5,5.6,8.1,0.194,,1973,False
80.0,Jerry Lucas,32.0,NYK,PF,71.0,,2001.0,17.3,0.54,0.164,12.6,20.8,3.4,4.4,7.8,0.188,,1973,False
81.0,Nate Williams,22.0,KCO,SG,80.0,,1979.0,12.9,0.504,0.152,8.9,9.2,2.3,0.1,2.5,0.06,,1973,False
82.0,Jon McGlocklin,29.0,MIL,SG,80.0,,1951.0,13.5,0.523,0.104,3.9,15.7,2.9,2.3,5.2,0.128,,1973,False
83.0,Dave Wohl,23.0,2TM,PG,78.0,,1933.0,10.4,0.488,0.234,2.7,22.0,1.3,0.4,1.7,0.042,,1973,False
83.0,Dave Wohl,23.0,POR,PG,22.0,,393.0,9.6,0.459,0.289,2.5,21.9,0.1,0.1,0.2,0.019,,1973,False
83.0,Dave Wohl,23.0,BUF,PG,56.0,,1540.0,10.6,0.495,0.22,2.7,22.0,1.2,0.3,1.5,0.048,,1973,False
84.0,Keith Erickson,28.0,LAL,SF,76.0,,1920.0,12.0,0.461,0.158,8.0,15.9,0.2,2.6,2.8,0.07,,1973,False
85.0,Willis Reed,30.0,NYK,C,69.0,,1876.0,15.4,0.5,0.176,15.5,9.1,1.9,3.9,5.8,0.149,,1973,False
86.0,Don Adams,25.0,2TM,SF,74.0,,1874.0,10.6,0.445,0.271,11.4,7.9,-0.6,1.5,0.9,0.024,,1973,False
86.0,Don Adams,25.0,ATL,SF,4.0,,76.0,3.9,0.277,0.211,13.8,7.9,-0.4,0.1,-0.3,-0.219,,1973,False
86.0,Don Adams,25.0,DET,SF,70.0,,1798.0,10.9,0.454,0.275,11.3,7.9,-0.2,1.5,1.3,0.034,,1973,False
87.0,George Trapp,24.0,ATL,PF,77.0,,1853.0,13.1,0.477,0.235,11.7,9.3,0.9,1.6,2.4,0.063,,1973,False
88.0,Rick Adelman,26.0,POR,PG,76.0,,1822.0,9.5,0.44,0.194,4.2,20.4,-0.4,0.5,0.1,0.003,,1973,False
89.0,Dick Garrett,26.0,BUF,SG,78.0,,1805.0,11.2,0.452,0.135,5.4,17.0,-0.3,0.4,0.1,0.001,,1973,False
90.0,Calvin Murphy,24.0,HOU,PG,77.0,,1697.0,17.5,0.533,0.328,4.1,21.0,4.0,1.0,5.0,0.141,,1973,False
91.0,Cliff Meely,25.0,HOU,PF,82.0,,1694.0,10.5,0.438,0.209,13.7,6.7,-0.9,1.3,0.4,0.012,,1973,False
92.0,Dennis Awtrey,24.0,2TM,C,82.0,2.0,1687.0,12.1,0.508,0.502,13.2,16.8,1.3,3.7,5.0,0.141,,1973,False
92.0,Dennis Awtrey,24.0,PHI,C,3.0,2.0,37.0,7.6,0.4,0.571,16.9,6.8,0.0,0.0,0.0,-0.004,,1973,False
92.0,Dennis Awtrey,24.0,CHI,C,79.0,,1650.0,12.2,0.51,0.5,13.1,17.0,1.3,3.6,5.0,0.145,,1973,False
93.0,John Mengelt,23.0,2TM,SG,79.0,,1647.0,14.1,0.532,0.246,5.4,12.7,3.0,0.9,3.9,0.114,,1973,False
93.0,John Mengelt,23.0,KCO,SG,12.0,,212.0,7.8,0.413,0.279,5.4,14.9,-0.2,0.0,-0.2,-0.039,,1973,False
93.0,John Mengelt,23.0,DET,SG,67.0,,1435.0,15.1,0.546,0.242,5.4,12.4,3.2,0.9,4.1,0.136,,1973,False
94.0,Ron Riley,22.0,KCO,PF,74.0,,1634.0,11.7,0.456,0.183,16.2,6.2,-0.2,0.2,0.0,0.0,,1973,False
95.0,John Brisker,25.0,SEA,SF,70.0,,1633.0,16.4,0.492,0.292,9.3,14.0,1.7,0.6,2.3,0.069,,1973,False
96.0,Greg Smith,26.0,2TM,SF,76.0,,1610.0,11.5,0.502,0.264,11.5,9.9,1.3,0.6,1.9,0.056,,1973,False
96.0,Greg Smith,26.0,HOU,SF,4.0,,41.0,4.7,0.313,0.0,9.1,14.6,-0.1,0.0,-0.1,-0.112,,1973,False
96.0,Greg Smith,26.0,POR,SF,72.0,,1569.0,11.6,0.507,0.273,11.6,9.8,1.5,0.5,2.0,0.061,,1973,False
97.0,Stu Lantz,26.0,DET,SG,51.0,,1603.0,9.3,0.47,0.33,5.2,10.6,0.4,1.0,1.4,0.041,,1973,False
98.0,Clem Haskins,29.0,PHO,SG,77.0,,1581.0,15.0,0.505,0.213,5.3,18.3,2.1,0.8,2.9,0.089,,1973,False
99.0,Gar Heard,24.0,2TM,PF,81.0,,1552.0,14.9,0.452,0.216,14.6,5.9,-0.5,2.9,2.4,0.075,,1973,False
99.0,Gar Heard,24.0,SEA,PF,3.0,,17.0,17.0,0.477,0.111,16.8,18.5,0.0,0.0,0.0,0.054,,1973,False
99.0,Gar Heard,24.0,CHI,PF,78.0,,1535.0,14.9,0.452,0.217,14.6,5.8,-0.5,2.9,2.4,0.075,,1973,False
100.0,John Hummer,24.0,BUF,PF,66.0,,1546.0,11.0,0.475,0.442,9.8,11.7,0.6,0.4,1.0,0.03,,1973,False
101.0,Chris Ford,24.0,DET,SG,74.0,,1537.0,12.1,0.501,0.214,8.4,15.9,1.3,1.3,2.5,0.079,ROY-3,1973,False
102.0,Archie Clark,31.0,BAL,PG,39.0,,1477.0,18.3,0.545,0.23,4.1,25.8,3.6,2.0,5.6,0.181,,1973,False
103.0,Clyde Lee,28.0,GSW,PF,66.0,,1476.0,12.2,0.49,0.359,18.4,2.8,0.7,2.6,3.4,0.109,,1973,False
104.0,Howard Komives,31.0,BUF,PG,67.0,,1468.0,9.1,0.435,0.228,3.8,20.7,-0.5,0.3,-0.1,-0.005,,1973,False
105.0,Fred Foster,26.0,DET,SF,63.0,,1460.0,8.1,0.411,0.139,6.1,8.5,-1.8,0.9,-0.9,-0.031,,1973,False
106.0,Dean Meminger,24.0,NYK,SG,80.0,,1453.0,12.4,0.542,0.353,7.8,11.6,2.2,2.2,4.4,0.144,,1973,False
107.0,Don Nelson,32.0,BOS,SF,72.0,,1425.0,16.8,0.531,0.29,10.0,9.6,3.0,2.8,5.8,0.194,,1973,False
108.0,Charlie Davis,23.0,2TM,SG,75.0,,1419.0,11.8,0.465,0.266,4.0,18.1,0.3,0.4,0.7,0.025,,1973,False
108.0,Charlie Davis,23.0,CLE,SG,6.0,,86.0,11.8,0.499,0.171,2.8,18.4,0.1,0.1,0.2,0.099,,1973,False
108.0,Charlie Davis,23.0,POR,SG,69.0,,1333.0,11.8,0.463,0.273,4.0,18.1,0.2,0.3,0.6,0.02,,1973,False
109.0,Butch Beard,25.0,SEA,PG,73.0,,1403.0,13.1,0.485,0.322,5.9,23.9,1.0,0.5,1.5,0.051,,1973,False
110.0,Phil Jackson,27.0,NYK,PF,80.0,,1393.0,14.8,0.504,0.353,12.2,9.1,1.7,2.5,4.2,0.146,,1973,False
111.0,Jim Cleamons,23.0,CLE,PG,80.0,,1392.0,12.4,0.491,0.239,5.8,20.3,1.0,1.6,2.6,0.089,,1973,False
112.0,Cornell Warner,24.0,2TM,C,72.0,,1370.0,11.9,0.442,0.214,18.5,7.1,-0.5,2.2,1.7,0.059,,1973,False
112.0,Cornell Warner,24.0,BUF,C,4.0,,47.0,14.5,0.475,0.118,14.9,17.6,0.0,0.0,0.0,0.036,,1973,False
