Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
39.0,Al Attles,29.0,SFW,PG,79.0,2053.0,13.2,0.528,0.348,14.7,3.6,2.0,5.6,0.131,,1966,False
40.0,Tom Van Arsdale,22.0,DET,SG,79.0,2041.0,10.6,0.433,0.348,13.4,-0.7,2.1,1.4,0.033,,1966,False
41.0,Elgin Baylor,31.0,LAL,SF,65.0,1975.0,16.9,0.456,0.326,15.7,0.5,2.0,2.6,0.062,,1966,False
42.0,Luke Jackson,24.0,PHI,PF,79.0,1966.0,12.3,0.459,0.349,8.2,0.4,3.2,3.6,0.088,,1966,False
43.0,Tom Sanders,27.0,BOS,PF,72.0,1896.0,13.6,0.485,0.338,6.6,1.8,3.7,5.5,0.139,,1966,False
44.0,Dave Stallworth,24.0,NYK,SF,80.0,1893.0,16.3,0.509,0.459,13.5,3.2,0.5,3.7,0.095,,1966,False
45.0,Wayne Embry,28.0,CIN,C,80.0,1882.0,9.2,0.454,0.415,5.3,0.2,1.3,1.5,0.038,,1966,False
46.0,Joe Caldwell,24.0,2TM,SF,79.0,1857.0,15.3,0.477,0.271,10.1,1.6,1.8,3.3,0.087,,1966,False
46.0,Joe Caldwell,24.0,DET,SF,33.0,716.0,15.3,0.459,0.26,12.9,0.2,0.9,1.1,0.077,,1966,False
46.0,Joe Caldwell,24.0,STL,SF,46.0,1141.0,15.3,0.487,0.277,8.3,1.4,0.9,2.2,0.093,,1966,False
47.0,Cliff Hagan,34.0,STL,SF,74.0,1851.0,14.8,0.491,0.219,13.6,2.4,1.2,3.7,0.095,,1966,False
48.0,Bob Boozer,28.0,LAL,PF,78.0,1847.0,16.4,0.542,0.383,6.4,4.3,1.6,5.8,0.151,,1966,False
49.0,Happy Hairston,23.0,CIN,PF,72.0,1794.0,16.8,0.532,0.394,3.4,4.1,1.3,5.3,0.142,,1966,False
50.0,Red Kerr,33.0,BAL,C,71.0,1770.0,16.3,0.481,0.393,16.4,1.5,1.6,3.1,0.085,,1966,False
51.0,Don Nelson,25.0,BOS,SF,75.0,1765.0,13.3,0.502,0.528,5.9,2.3,3.1,5.4,0.146,,1966,False
52.0,Rod Thorn,24.0,2TM,SG,73.0,1739.0,12.1,0.469,0.324,11.7,1.0,1.3,2.3,0.063,,1966,False
52.0,Rod Thorn,24.0,DET,SG,27.0,815.0,12.5,0.473,0.359,10.8,0.6,0.7,1.3,0.075,,1966,False
52.0,Rod Thorn,24.0,STL,SG,46.0,924.0,11.7,0.465,0.294,12.5,0.4,0.6,1.0,0.052,,1966,False
53.0,Paul Neumann,28.0,SFW,PG,66.0,1729.0,14.8,0.497,0.388,14.6,2.5,1.5,4.0,0.112,,1966,False
54.0,Larry Siegfried,26.0,BOS,PG,71.0,1675.0,16.5,0.505,0.377,14.1,3.1,2.7,5.8,0.166,,1966,False
55.0,Johnny Green,32.0,2TM,PF,79.0,1645.0,19.3,0.547,0.581,9.1,4.3,1.3,5.6,0.164,,1966,False
