Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
1.0,John Havlicek,31.0,BOS,SF,82.0,,3698.0,20.1,0.512,0.281,8.3,22.9,5.9,6.5,12.4,0.162,"MVP-4,AS,NBA1,DEF1",1972,False
2.0,Kareem Abdul-Jabbar,24.0,MIL,C,81.0,,3583.0,29.9,0.603,0.363,18.1,16.1,18.3,7.1,25.4,0.34,"MVP-1,AS,NBA1",1972,False
3.0,Wilt Chamberlain,35.0,LAL,C,82.0,,3469.0,18.5,0.61,0.686,20.1,11.2,7.9,7.9,15.8,0.219,"MVP-3,AS,NBA2,DEF1",1972,False
4.0,Elvin Hayes,26.0,HOU,C,82.0,,3461.0,19.4,0.471,0.321,15.6,11.7,0.8,6.5,7.3,0.101,"MVP-17,AS",1972,False
5.0,Nate Thurmond,30.0,GSW,C,78.0,,3362.0,18.7,0.492,0.386,16.6,9.8,2.6,6.4,9.0,0.128,"MVP-8,DEF2",1972,False
6.0,Archie Clark,30.0,2TM,PG,77.0,1.0,3285.0,20.5,0.536,0.44,3.8,28.0,7.7,3.2,11.0,0.16,"MVP-12,AS,NBA2",1972,False
6.0,Archie Clark,30.0,PHI,PG,1.0,1.0,42.0,24.9,0.696,0.688,3.2,25.9,0.3,0.0,0.3,0.339,,1972,False
6.0,Archie Clark,30.0,BAL,PG,76.0,,3243.0,20.4,0.534,0.437,3.8,28.1,7.5,3.2,10.7,0.158,,1972,False
7.0,Tiny Archibald,23.0,CIN,PG,76.0,,3272.0,23.0,0.572,0.545,3.4,33.2,11.8,1.1,12.9,0.189,"MVP-15,NBA2",1972,False
8.0,Jo Jo White,25.0,BOS,PG,79.0,,3261.0,15.3,0.471,0.192,6.2,17.4,0.7,4.7,5.4,0.079,AS,1972,False
9.0,Sidney Wicks,22.0,POR,PF,82.0,,3245.0,19.2,0.476,0.338,13.6,17.1,1.3,1.0,2.3,0.034,"MVP-17,ROY-1,AS",1972,False
10.0,Jeff Mullins,29.0,GSW,SG,80.0,,3214.0,18.0,0.518,0.301,6.2,21.9,5.3,4.6,9.9,0.148,,1972,False
11.0,Bob Kauffman,25.0,BUF,PF,77.0,,3205.0,17.7,0.555,0.382,11.9,13.5,7.0,0.9,8.0,0.119,AS,1972,False
12.0,Walt Bellamy,32.0,ATL,C,82.0,,3187.0,19.0,0.567,0.534,16.1,11.8,7.8,2.5,10.3,0.155,MVP-25,1972,False
13.0,Dave Cowens,23.0,BOS,C,79.0,,3186.0,17.1,0.509,0.179,17.2,10.1,3.5,6.9,10.4,0.156,"MVP-7,AS",1972,False
14.0,Elmore Smith,22.0,BUF,C,78.0,,3186.0,15.0,0.471,0.285,18.0,5.1,0.4,1.1,1.5,0.022,ROY-2,1972,False
