Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,season,is_playoff
202.0,Mike Macaluso,22.0,BUF,SF,30.0,,112.0,10.2,0.466,0.386,9.1,13.0,11.1,3.5,2.7,0.4,-0.1,0.1,0.0,-0.001,-5.2,-0.3,-5.5,-0.1,,1974,False
203.0,Stan McKenzie,29.0,HOU,SG,11.0,,112.0,4.0,0.363,0.333,2.9,12.3,7.6,6.4,1.2,0.0,-0.1,0.0,-0.1,-0.044,-4.7,-0.5,-5.2,-0.1,,1974,False
204.0,Jim Owens,23.0,PHO,SF,17.0,,101.0,18.1,0.587,0.359,1.0,7.9,4.5,21.5,2.2,0.0,0.3,0.0,0.3,0.148,-1.1,0.1,-1.0,0.1,,1974,False
205.0,Charlie Davis,24.0,POR,SG,8.0,,90.0,8.2,0.371,0.1,2.2,10.4,6.2,16.2,1.0,0.0,-0.1,0.0,-0.1,-0.068,-3.8,-1.2,-5.0,-0.1,,1974,False
206.0,Luther Rackley,27.0,PHI,C,9.0,0.0,68.0,10.9,0.504,0.846,6.8,25.1,15.5,0.0,2.0,3.0,0.0,0.1,0.1,0.083,-3.9,0.4,-3.4,0.0,,1974,False
207.0,Dick Barnett,37.0,NYK,SG,5.0,,58.0,9.4,0.403,0.115,1.8,5.4,3.6,14.6,0.8,0.0,0.0,0.0,0.0,0.005,-3.2,-0.4,-3.6,0.0,,1974,False
208.0,Tom Riker,23.0,NYK,C,17.0,,57.0,19.9,0.521,0.586,16.7,11.1,13.9,8.1,0.0,0.0,0.1,0.0,0.2,0.159,-2.4,-0.9,-3.3,0.0,,1974,False
209.0,Paul Ruffner,25.0,BUF,C,20.0,,51.0,11.7,0.458,0.481,8.0,13.3,10.7,0.0,0.8,1.0,0.0,0.0,0.0,-0.012,-4.7,-1.0,-5.7,-0.1,,1974,False
210.0,Rich Rinaldi,24.0,CAP,SG,7.0,,48.0,4.4,0.189,0.182,3.9,10.0,6.9,25.4,2.8,1.1,-0.3,0.1,-0.2,-0.21,-5.3,0.0,-5.3,-0.1,,1974,False
211.0,Dick Cunningham,27.0,MIL,C,8.0,,45.0,6.1,0.33,1.167,2.4,31.7,18.1,0.0,2.0,2.3,-0.1,0.1,0.0,-0.009,-4.2,0.3,-3.9,0.0,,1974,False
212.0,Ted Manakas,22.0,KCO,SG,5.0,,45.0,7.2,0.51,0.4,0.0,7.0,3.5,5.8,1.0,0.0,0.0,0.0,0.0,0.014,-3.9,-0.2,-4.1,0.0,,1974,False
