Rk,Player,Age,Team,Pos,G,MP,PER,TS%,FTr,OWS,DWS,WS,WS/48,Awards,season,is_playoff
44.0,Don Otten,30.0,2TM,C,64.0,1789.0,20.1,0.468,0.657,4.1,1.7,5.8,0.156,,1952,False
44.0,Don Otten,30.0,FTW,C,7.0,63.0,15.1,0.444,0.8,0.1,0.1,0.2,0.126,,1952,False
44.0,Don Otten,30.0,MLH,C,57.0,1726.0,20.3,0.469,0.653,4.0,1.6,5.6,0.157,,1952,False
45.0,Ed Mikan,26.0,PHW,C,66.0,1781.0,11.6,0.409,0.259,0.0,0.8,0.8,0.021,,1952,False
46.0,Kevin O'Shea,26.0,2TM,,65.0,1725.0,10.4,0.403,0.451,0.1,1.1,1.2,0.033,,1952,False
46.0,Kevin O'Shea,26.0,MLH,,43.0,1077.0,8.7,0.368,0.375,-0.9,0.8,-0.1,-0.004,,1952,False
46.0,Kevin O'Shea,26.0,BLB,PG,22.0,648.0,13.3,0.462,0.588,1.0,0.3,1.3,0.096,,1952,False
47.0,Wally Osterkorn,23.0,SYR,SF,66.0,1721.0,13.5,0.436,0.811,1.4,2.6,4.0,0.111,,1952,False
48.0,Bob Harrison,24.0,MNL,SG,65.0,1712.0,8.3,0.37,0.255,-1.0,3.2,2.2,0.061,,1952,False
49.0,Odie Spears,27.0,ROC,SF,66.0,1673.0,14.0,0.444,0.267,1.9,1.2,3.1,0.09,,1952,False
50.0,Bill Calhoun,24.0,BLB,SG,55.0,1594.0,10.3,0.391,0.447,-0.4,0.8,0.4,0.012,,1952,False
51.0,Frank Kudelka,26.0,BLB,SF,65.0,1583.0,14.3,0.416,0.42,0.8,0.9,1.7,0.052,,1952,False
52.0,Ralph O'Brien,23.0,INO,SG,64.0,1577.0,12.8,0.426,0.243,1.1,1.5,2.6,0.079,,1952,False
53.0,Connie Simmons,26.0,NYK,C,66.0,1558.0,17.8,0.442,0.423,1.8,1.5,3.3,0.102,,1952,False
54.0,Dave Minor,29.0,BLB,SG,57.0,1558.0,12.6,0.406,0.253,0.2,0.9,1.1,0.033,,1952,False
55.0,Alex Hannum,28.0,2TM,PF,66.0,1508.0,11.6,0.419,0.299,0.6,1.0,1.7,0.053,,1952,False
55.0,Alex Hannum,28.0,BLB,PF,35.0,958.0,10.1,0.399,0.273,-0.1,0.5,0.4,0.02,,1952,False
55.0,Alex Hannum,28.0,ROC,PF,31.0,550.0,14.2,0.455,0.346,0.7,0.5,1.3,0.11,,1952,False
56.0,Ernie Vandeweghe,23.0,NYK,SF,57.0,1507.0,16.7,0.497,0.35,3.7,1.2,4.8,0.154,,1952,False
57.0,Pep Saul,27.0,2TM,SG,64.0,1479.0,12.3,0.43,0.351,1.2,1.7,2.9,0.093,,1952,False
57.0,Pep Saul,27.0,BLB,SG,39.0,720.0,11.4,0.393,0.239,-0.2,0.4,0.2,0.013,,1952,False
57.0,Pep Saul,27.0,MNL,SG,25.0,759.0,13.2,0.476,0.503,1.3,1.4,2.7,0.17,,1952,False
58.0,Vince Boryla,24.0,NYK,SF,42.0,1440.0,12.8,0.437,0.22,1.2,0.9,2.1,0.069,,1952,False
59.0,Bill Sharman,25.0,BOS,SG,63.0,1389.0,17.8,0.465,0.339,3.0,1.3,4.3,0.148,,1952,False
60.0,George Ratkovicz,29.0,SYR,PF,66.0,1356.0,13.4,0.425,0.512,0.8,1.9,2.8,0.098,,1952,False
61.0,Bob Brannum,25.0,BOS,PF,66.0,1324.0,12.5,0.423,0.423,0.5,1.5,2.0,0.074,,1952,False
62.0,Wah Wah Jones,25.0,INO,PF,58.0,1320.0,13.6,0.368,0.26,-1.4,2.1,0.8,0.028,,1952,False
63.0,Noble Jorgensen,26.0,SYR,C,66.0,1318.0,16.4,0.488,0.407,3.1,1.7,4.8,0.175,,1952,False
64.0,Ray Lumpp,28.0,NYK,SG,62.0,1317.0,11.5,0.433,0.25,1.1,0.8,1.9,0.068,,1952,False
65.0,Bob Wilson,25.0,MLH,PG,63.0,1308.0,7.8,0.365,0.511,-0.8,1.0,0.2,0.008,,1952,False
66.0,Howie Schultz,29.0,MNL,PF,66.0,1301.0,8.1,0.365,0.378,-0.9,2.9,2.0,0.074,,1952,False
67.0,Don Lofgran,22.0,INO,SF,63.0,1254.0,14.0,0.442,0.525,1.3,1.6,2.9,0.112,,1952,False
68.0,Nelson Bobb,27.0,PHW,PG,62.0,1192.0,11.0,0.42,0.546,0.7,0.4,1.2,0.048,,1952,False
69.0,Walt Budko,26.0,PHW,PF,63.0,1126.0,10.3,0.455,0.371,1.1,0.4,1.5,0.065,,1952,False
70.0,Bill Closs,30.0,FTW,SF,57.0,1120.0,10.5,0.379,0.404,-1.0,0.9,0.0,-0.001,,1952,False
71.0,Bill Gabor,29.0,SYR,SG,57.0,1085.0,9.8,0.394,0.34,-0.5,1.0,0.5,0.021,,1952,False
72.0,Bones McKinney,33.0,BOS,SF,63.0,1083.0,9.5,0.372,0.191,-1.0,1.0,0.0,0.001,,1952,False
73.0,Red Holzman,31.0,ROC,PG,65.0,1065.0,6.7,0.329,0.228,-2.1,0.6,-1.5,-0.068,,1952,False
74.0,Neil Johnston,22.0,PHW,C,64.0,993.0,18.9,0.523,0.505,2.9,0.5,3.4,0.163,,1952,False
75.0,Whitey Skoog,25.0,MNL,SG,35.0,988.0,7.7,0.374,0.128,-0.7,1.7,1.0,0.048,,1952,False
76.0,George Kaftan,23.0,NYK,SF,52.0,955.0,14.8,0.44,0.436,1.0,0.8,1.7,0.088,,1952,False
77.0,Gerry Calabrese,26.0,SYR,SG,58.0,937.0,9.5,0.402,0.325,0.0,0.9,0.9,0.046,,1952,False
78.0,Chuck Share,24.0,FTW,C,63.0,882.0,16.0,0.408,0.657,0.1,1.2,1.3,0.07,,1952,False
79.0,Al Cervi,34.0,SYR,PG,55.0,850.0,22.1,0.536,0.886,4.1,1.2,5.3,0.297,,1952,False
80.0,Lew Hitch,22.0,MNL,PF,61.0,849.0,14.1,0.423,0.437,0.4,2.3,2.7,0.151,,1952,False
81.0,Al McGuire,23.0,NYK,PG,59.0,788.0,12.9,0.471,0.731,1.3,0.6,1.9,0.116,,1952,False
82.0,Don Rehfeldt,25.0,2TM,SF,39.0,788.0,15.7,0.408,0.281,0.0,0.8,0.8,0.048,,1952,False
82.0,Don Rehfeldt,25.0,BLB,SF,10.0,194.0,14.0,0.391,0.39,-0.1,0.1,0.1,0.017,,1952,False
82.0,Don Rehfeldt,25.0,MLH,SF,29.0,594.0,16.3,0.412,0.252,0.1,0.6,0.7,0.058,,1952,False
83.0,Dillard Crocker,27.0,2TM,PF,38.0,783.0,12.4,0.427,0.52,0.6,0.6,1.2,0.072,,1952,False
83.0,Dillard Crocker,27.0,INO,PF,6.0,23.0,12.8,0.589,1.2,0.1,0.0,0.1,0.253,,1952,False
83.0,Dillard Crocker,27.0,MLH,PF,32.0,760.0,12.4,0.424,0.507,0.5,0.6,1.1,0.067,,1952,False
84.0,Joe Holland,26.0,INO,SF,55.0,737.0,11.6,0.383,0.26,-0.5,1.1,0.6,0.037,,1952,False
85.0,Joe Hutton,23.0,MNL,SG,60.0,723.0,8.1,0.41,0.443,0.2,1.3,1.5,0.102,,1952,False
86.0,Brady Walker,30.0,BLB,PF,35.0,699.0,15.6,0.44,0.157,0.5,0.4,1.0,0.066,,1952,False
87.0,Joe McNamee,25.0,2TM,SF,58.0,695.0,6.1,0.34,0.225,-1.2,0.4,-0.8,-0.055,,1952,False
87.0,Joe McNamee,25.0,ROC,SF,24.0,118.0,-3.0,0.208,0.194,-0.5,0.1,-0.4,-0.168,,1952,False
87.0,Joe McNamee,25.0,BLB,SF,34.0,577.0,7.9,0.361,0.23,-0.7,0.3,-0.4,-0.032,,1952,False
88.0,Jake Fendley,22.0,FTW,SG,58.0,651.0,9.8,0.432,0.559,0.5,0.5,1.0,0.076,,1952,False
89.0,Red Owens,26.0,2TM,SG,29.0,626.0,11.3,0.381,0.452,-0.5,0.4,-0.1,-0.008,,1952,False
89.0,Red Owens,26.0,BLB,SG,19.0,341.0,13.1,0.387,0.466,-0.3,0.2,-0.1,-0.01,,1952,False
89.0,Red Owens,26.0,MLH,SG,10.0,285.0,9.1,0.37,0.429,-0.2,0.2,0.0,-0.005,,1952,False
90.0,John Mahnken,29.0,BOS,C,60.0,581.0,10.9,0.37,0.189,-0.6,0.6,0.1,0.006,,1952,False
91.0,Jim Slaughter,23.0,BLB,C,28.0,525.0,10.1,0.377,0.412,-0.4,0.3,-0.1,-0.01,,1952,False
92.0,Art Burris,27.0,2TM,SF,41.0,514.0,5.6,0.318,0.25,-1.2,0.4,-0.8,-0.073,,1952,False
92.0,Art Burris,27.0,FTW,SF,29.0,245.0,1.9,0.268,0.16,-0.9,0.2,-0.7,-0.132,,1952,False
92.0,Art Burris,27.0,MLH,SF,12.0,269.0,8.9,0.361,0.333,-0.3,0.2,-0.1,-0.021,,1952,False
93.0,Vern Gardner,26.0,PHW,SG,27.0,507.0,11.2,0.389,0.119,-0.3,0.2,-0.1,-0.006,,1952,False
94.0,Cliff Barker,31.0,INO,SG,44.0,494.0,10.8,0.343,0.317,-0.7,0.8,0.1,0.008,,1952,False
95.0,Jack Kiley,23.0,FTW,SG,47.0,477.0,3.7,0.272,0.28,-2.1,0.4,-1.8,-0.177,,1952,False
96.0,Mel Payton,25.0,PHW,SF,45.0,471.0,11.0,0.423,0.2,0.2,0.2,0.4,0.041,,1952,False
97.0,Dick Dickey,25.0,BOS,PG,45.0,440.0,9.7,0.382,0.507,-0.2,0.4,0.3,0.028,,1952,False
98.0,Walt Kirk,27.0,MLH,PG,11.0,396.0,9.8,0.41,0.772,0.1,0.3,0.4,0.044,,1952,False
99.0,Cal Christensen,24.0,MLH,SF,24.0,374.0,10.8,0.363,0.594,-0.3,0.4,0.0,0.002,,1952,False
100.0,Ray Ragelis,23.0,ROC,SF,51.0,337.0,6.1,0.313,0.302,-0.7,0.3,-0.4,-0.059,,1952,False
101.0,Sam Ranzino,23.0,ROC,SG,39.0,234.0,9.6,0.405,0.411,0.0,0.2,0.2,0.038,,1952,False
102.0,Herb Scherer,23.0,NYK,C,12.0,167.0,3.9,0.33,0.215,-0.4,0.1,-0.3,-0.092,,1952,False
103.0,Stan Brown,22.0,PHW,,15.0,141.0,6.1,0.381,0.286,-0.1,0.0,-0.1,-0.035,,1952,False
104.0,Belus Smawley,33.0,BLB,SG,11.0,139.0,3.1,0.284,0.27,-0.6,0.1,-0.6,-0.195,,1952,False
105.0,Nate DeLong,26.0,MLH,,17.0,132.0,21.3,0.557,0.833,0.7,0.1,0.8,0.309,,1952,False
106.0,Don Savage,23.0,SYR,,12.0,118.0,7.2,0.325,0.651,-0.3,0.2,-0.1,-0.053,,1952,False
107.0,Gene Vance,28.0,MLH,,7.0,118.0,6.0,0.358,0.538,-0.1,0.1,0.0,-0.008,,1952,False
108.0,Charlie Black,30.0,MLH,,13.0,117.0,1.1,0.234,0.387,-0.5,0.1,-0.4,-0.148,,1952,False
109.0,Ed Dahler,26.0,PHW,,14.0,112.0,10.4,0.426,0.184,0.0,0.0,0.1,0.036,,1952,False
110.0,John McConathy,21.0,MLH,,11.0,106.0,1.7,0.199,0.483,-0.6,0.1,-0.5,-0.214,,1952,False
111.0,Elmer Behnke,22.0,MLH,,4.0,55.0,7.8,0.319,0.318,-0.2,0.1,-0.1,-0.098,,1952,False
112.0,John Rennicke,22.0,MLH,,6.0,54.0,-1.3,0.25,0.5,-0.3,0.0,-0.2,-0.218,,1952,False
113.0,John Pilch,26.0,MNL,,9.0,41.0,-2.6,0.198,0.6,-0.2,0.1,-0.1,-0.118,,1952,False
114.0,Jerry Fowler,24.0,MLH,,6.0,41.0,3.9,0.305,0.308,-0.1,0.0,-0.1,-0.1,,1952,False
115.0,Paul Noel,27.0,ROC,,8.0,32.0,2.3,0.291,0.333,-0.1,0.0,-0.1,-0.092,,1952,False
116.0,Zeke Sinicola,23.0,FTW,,3.0,15.0,-7.2,0.205,0.5,-0.1,0.0,-0.1,-0.236,,1952,False
,League Average,,,,,,,0.438,0.411,,,,,,1952,False
