Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Jay Arnette,SG,26,CIN,1,2,-9.7,0.0,,0.0,,,,58.3,,,,,,0.0,0.0,0.0,-0.553,,,,,,1965,True
2,Dick Barnett*,SG,28,LAL,10,287,17.4,0.523,,0.26,,,,18.4,,,,,,0.7,0.0,0.6,0.109,,,,,,1965,True
3,John Barnhill,SG,26,STL,4,36,1.6,0.235,,0.364,,,,6.9,,,,,,-0.2,0.0,-0.1,-0.14,,,,,,1965,True
4,Elgin Baylor*,SF,30,LAL,1,5,-6.2,0.0,,0.0,,,,22.9,,,,,,0.0,0.0,0.0,-0.451,,,,,,1965,True
5,Zelmo Beaty*,C,25,STL,4,154,17.6,0.55,,0.424,,,,1.0,,,,,,0.4,0.2,0.6,0.194,,,,,,1965,True
6,Walt Bellamy*,C,25,BAL,10,427,18.8,0.527,,0.582,,,,11.0,,,,,,0.9,0.4,1.3,0.143,,,,,,1965,True
7,Al Bianchi,PG,32,PHI,11,308,6.4,0.409,,0.178,,,,13.6,,,,,,-0.3,0.2,-0.1,-0.015,,,,,,1965,True
8,Ron Bonham,SF,22,BOS,4,13,23.3,0.493,,0.417,,,,0.0,,,,,,0.0,0.0,0.0,0.165,,,,,,1965,True
9,Gary Bradds,SF,22,BAL,1,5,47.4,0.773,,0.667,,,,0.0,,,,,,0.1,0.0,0.1,0.692,,,,,,1965,True
10,Bill Bridges,PF,25,STL,4,145,13.4,0.396,,0.254,,,,8.7,,,,,,-0.2,0.3,0.1,0.04,,,,,,1965,True
11,Wilt Chamberlain*,C,28,PHI,11,536,27.1,0.552,,0.586,,,,14.2,,,,,,1.7,0.8,2.5,0.222,,,,,,1965,True
12,Larry Costello*,PG,33,PHI,10,207,5.3,0.458,,0.302,,,,12.8,,,,,,0.0,0.1,0.2,0.038,,,,,,1965,True
13,Mel Counts,C,23,BOS,4,30,1.8,0.291,,0.067,,,,4.1,,,,,,-0.1,0.1,-0.1,-0.087,,,,,,1965,True
14,Leroy Ellis,C,24,LAL,11,405,11.9,0.455,,0.448,,,,2.4,,,,,,0.0,0.0,0.0,0.0,,,,,,1965,True
15,Wayne Embry*,C,27,CIN,4,123,11.0,0.483,,0.229,,,,9.5,,,,,,0.1,0.0,0.1,0.039,,,,,,1965,True
16,Mike Farmer,SF,28,STL,1,7,13.2,0.5,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.111,,,,,,1965,True
17,Bob Ferry,PF,27,BAL,10,67,9.8,0.401,,0.563,,,,15.0,,,,,,0.0,0.1,0.0,0.014,,,,,,1965,True
18,Dave Gambee,SF,27,PHI,10,132,10.7,0.492,,0.708,,,,6.1,,,,,,0.2,0.1,0.2,0.087,,,,,,1965,True
19,Si Green,PG,31,BAL,9,65,11.2,0.495,,0.313,,,,29.1,,,,,,0.1,0.1,0.1,0.092,,,,,,1965,True
20,Hal Greer*,SG,28,PHI,11,505,17.3,0.521,,0.392,,,,16.5,,,,,,1.1,0.4,1.5,0.139,,,,,,1965,True
