Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Ray Allen*,SG,37,MIA,23,573,14.4,0.598,0.558,0.314,2.9,10.8,6.9,8.3,1.2,0.4,12.1,18.8,,1.1,0.5,1.5,0.129,,1.5,-0.8,0.7,0.4,2013,True
2,Tony Allen,SG,31,MEM,15,422,17.7,0.512,0.064,0.464,9.9,16.2,12.9,11.3,3.9,1.0,11.2,18.7,,0.6,0.7,1.3,0.148,,0.4,3.9,4.2,0.7,2013,True
3,Chris Andersen,C,34,MIA,20,303,24.9,0.815,0.0,0.86,13.3,17.6,15.5,1.7,1.6,6.2,12.3,14.3,,1.4,0.5,1.9,0.309,,2.8,2.8,5.5,0.6,2013,True
4,James Anderson,SG,23,HOU,2,18,-1.4,0.2,0.6,0.0,6.1,18.9,12.4,0.0,0.0,0.0,0.0,12.2,,0.0,0.0,-0.1,-0.14,,-7.5,-3.2,-10.7,0.0,2013,True
5,Carmelo Anthony*,PF,28,NYK,12,481,20.4,0.497,0.184,0.281,2.5,18.2,9.7,9.3,1.5,0.4,8.2,38.0,,0.4,0.8,1.1,0.114,,4.1,-1.2,2.9,0.6,2013,True
6,Joel Anthony,C,30,MIA,14,71,6.4,0.3,0.0,0.0,17.7,18.8,18.3,0.0,1.5,4.8,23.1,8.9,,0.0,0.1,0.1,0.047,,-4.9,-0.7,-5.6,-0.1,2013,True
7,Darrell Arthur,PF,24,MEM,15,175,11.1,0.509,0.038,0.17,9.1,17.3,13.0,6.2,0.6,1.9,10.9,17.0,,0.2,0.2,0.3,0.086,,-3.4,1.2,-2.3,0.0,2013,True
8,Ãmer AÅÄ±k,C,26,HOU,6,208,16.9,0.62,0.0,1.205,11.1,25.1,18.0,2.4,0.7,4.2,16.7,15.2,,0.4,0.1,0.5,0.123,,0.2,0.8,1.0,0.2,2013,True
9,D.J. Augustin,PG,25,IND,19,316,9.7,0.579,0.676,0.437,0.8,4.6,2.8,7.1,1.2,0.0,10.6,14.0,,0.5,0.2,0.7,0.106,,-1.1,0.8,-0.3,0.1,2013,True
10,Gustavo AyÃ³n,C,27,MIL,3,7,14.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,,0.0,0.0,0.0,-0.045,,0.3,-3.9,-3.6,0.0,2013,True
