Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Kareem Abdul-Jabbar*,C,37,LAL,19,610,22.1,0.602,0.0,0.343,9.8,17.1,13.8,16.2,1.7,3.1,13.1,25.2,,1.5,1.0,2.5,0.194,,3.8,1.6,5.4,1.2,1985,True
2,Alvan Adams,PF,30,PHO,3,79,19.4,0.524,0.0,0.13,5.8,21.0,13.0,21.3,3.9,0.7,11.0,26.6,,0.0,0.0,0.0,0.027,,1.8,0.3,2.1,0.1,1985,True
3,Mark Aguirre,SF,25,DAL,4,164,20.2,0.563,0.022,0.36,10.5,10.0,10.3,17.5,0.9,0.0,12.7,30.2,,0.3,0.0,0.3,0.093,,3.9,-2.4,1.5,0.1,1985,True
4,Danny Ainge,SG,25,BOS,21,687,12.0,0.513,0.077,0.188,3.3,6.1,4.7,23.2,2.2,0.1,12.4,15.1,,0.7,0.7,1.3,0.092,,-0.4,1.1,0.7,0.5,1985,True
5,Ron Anderson,SF,26,CLE,2,9,-3.4,0.0,0.0,0.0,13.7,26.2,20.1,0.0,0.0,0.0,0.0,13.6,,0.0,0.0,0.0,-0.213,,-7.0,-5.3,-12.3,0.0,1985,True
6,John Bagley,PG,24,CLE,4,168,10.2,0.422,0.054,0.179,0.7,10.5,5.7,29.1,2.8,0.0,22.0,18.8,,-0.2,0.2,-0.1,-0.024,,-1.6,-1.0,-2.5,0.0,1985,True
7,Thurl Bailey,PF,23,UTA,10,375,13.0,0.48,0.0,0.362,5.6,17.6,11.9,10.9,0.6,2.4,10.6,20.8,,-0.1,0.6,0.5,0.064,,-0.9,0.4,-0.5,0.1,1985,True
8,Greg Ballard,SF,30,WSB,4,65,15.2,0.536,0.083,0.375,6.6,18.5,12.2,13.8,2.3,0.0,15.2,21.3,,0.0,0.1,0.1,0.105,,0.6,1.7,2.3,0.1,1985,True
9,Gene Banks,SF,25,SAS,1,10,-13.9,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,66.7,12.3,,-0.1,0.0,-0.1,-0.341,,-14.8,-6.0,-20.8,0.0,1985,True
10,Charles Barkley*,PF,21,PHI,13,408,19.6,0.582,0.043,0.453,14.4,25.0,19.8,9.4,2.7,2.2,17.4,20.3,,0.5,0.9,1.4,0.17,,2.7,1.7,4.4,0.7,1985,True
11,Kent Benson,C,30,DET,9,142,15.2,0.599,0.0,0.326,6.4,21.0,13.4,3.7,2.6,0.8,10.2,16.1,,0.3,0.2,0.4,0.139,,-0.9,2.1,1.2,0.1,1985,True
12,Larry Bird*,SF,28,BOS,20,815,20.9,0.536,0.059,0.32,7.3,17.5,12.4,21.3,2.0,1.3,10.5,26.8,,1.5,1.1,2.6,0.155,,5.2,0.8,6.0,1.7,1985,True
13,Rolando Blackman,SG,25,DAL,4,169,24.3,0.602,0.022,0.413,7.0,10.4,8.6,20.5,0.6,0.7,11.4,30.5,,0.6,0.0,0.6,0.158,,5.8,-1.2,4.6,0.2,1985,True
14,Sam Bowie,C,23,POR,9,259,11.0,0.471,0.0,0.424,6.4,26.1,15.8,9.4,0.7,4.7,14.6,12.3,,0.0,0.2,0.2,0.039,,-2.3,1.3,-1.0,0.1,1985,True
15,Dudley Bradley,SG,27,WSB,4,41,11.8,0.651,0.556,0.444,5.2,11.7,8.3,20.4,2.4,0.0,31.7,16.2,,0.0,0.1,0.1,0.064,,-1.1,2.6,1.5,0.0,1985,True
16,Randy Breuer,C,24,MIL,8,104,11.9,0.624,0.0,0.808,10.7,16.5,13.7,0.0,0.9,1.1,18.5,17.2,,0.1,0.1,0.2,0.084,,-1.2,-1.1,-2.2,0.0,1985,True
17,Ron Brewer,SG,29,NJN,3,93,9.9,0.537,0.033,0.267,1.1,4.5,2.8,6.9,1.5,0.0,8.2,15.8,,0.0,0.0,0.0,0.024,,-1.1,-1.2,-2.3,0.0,1985,True
18,Wallace Bryant,C,25,DAL,2,36,3.1,0.532,0.0,2.0,3.0,19.5,10.9,3.4,1.4,1.5,51.5,4.5,,0.0,0.0,0.0,-0.018,,-3.4,1.1,-2.3,0.0,1985,True
19,Quinn Buckner,PG,30,BOS,15,86,10.3,0.607,0.0,0.364,2.6,6.4,4.5,18.6,3.3,0.0,19.0,14.8,,0.1,0.1,0.2,0.104,,-5.0,3.3,-1.7,0.0,1985,True
20,Tony Campbell,SF,22,DET,2,9,6.0,0.333,0.0,0.0,0.0,24.5,11.8,13.3,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,-0.008,,-4.5,-0.7,-5.1,0.0,1985,True
21,Kenny Carr,PF,29,POR,9,265,11.2,0.559,0.011,0.211,11.7,17.0,14.2,4.9,0.5,0.4,18.1,18.6,,0.1,0.0,0.1,0.022,,-2.2,-2.7,-4.8,-0.2,1985,True
22,M.L. Carr,SF,34,BOS,7,24,-0.1,0.3,0.133,0.0,4.7,4.6,4.6,5.7,2.0,0.0,6.3,26.9,,-0.1,0.0,-0.1,-0.163,,-9.3,-3.7,-13.0,-0.1,1985,True
23,Maurice Cheeks*,PG,28,PHI,13,483,15.7,0.577,0.033,0.275,2.8,7.8,5.3,20.0,3.1,0.6,16.5,17.5,,0.6,0.8,1.4,0.135,,1.3,1.8,3.1,0.6,1985,True
24,Carlos Clark,SG,24,BOS,3,11,35.4,0.68,0.0,0.4,20.4,0.0,10.1,43.4,4.3,0.0,0.0,21.5,,0.1,0.0,0.1,0.478,,9.6,6.4,16.0,0.1,1985,True
25,Don Collins,SG,26,WSB,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.005,,-5.3,-0.7,-6.0,0.0,1985,True
26,Steve Colter,PG,22,POR,9,166,14.1,0.509,0.147,0.107,2.5,8.2,5.2,30.0,1.4,0.0,11.3,20.8,,0.2,0.0,0.2,0.055,,0.1,-0.4,-0.3,0.1,1985,True
27,Darwin Cook,PG,26,NJN,1,7,12.5,0.75,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,33.3,34.6,,0.0,0.0,0.0,-0.126,,-2.8,-3.6,-6.4,0.0,1985,True
28,Jeff Cook,PF,28,SAS,5,98,13.2,0.603,0.056,1.389,7.7,25.6,17.2,5.3,2.3,3.3,17.1,14.6,,0.1,0.1,0.2,0.111,,-1.8,2.4,0.6,0.1,1985,True
29,Michael Cooper*,SG,28,LAL,19,501,15.5,0.665,0.206,0.413,2.9,12.8,8.3,20.5,1.9,0.9,19.5,14.3,,1.0,0.6,1.7,0.161,,1.8,1.7,3.4,0.7,1985,True
30,Wayne Cooper,C,28,DEN,15,321,16.6,0.511,0.0,0.28,10.6,21.3,15.5,8.1,1.1,6.5,10.6,21.0,,0.2,0.5,0.8,0.112,,-1.1,1.0,-0.1,0.2,1985,True
31,Dave Corzine,C,28,CHI,4,77,16.6,0.698,0.0,0.286,13.5,22.7,17.8,6.0,1.3,0.8,17.5,15.4,,0.2,0.1,0.2,0.148,,2.2,0.8,3.0,0.1,1985,True
32,Terry Cummings,PF,23,MIL,8,311,22.6,0.63,0.007,0.389,8.4,18.0,13.4,11.2,1.9,1.3,13.0,26.7,,0.9,0.3,1.2,0.188,,4.5,1.1,5.7,0.6,1985,True
