Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Kareem Abdul-Jabbar*,C,39,LAL,18,559,19.4,0.6,0.004,0.521,8.7,15.3,12.3,9.1,0.7,3.5,12.2,24.2,,1.2,0.8,2.0,0.171,,2.3,0.3,2.5,0.6,1987,True
2,Michael Adams,PG,24,WSB,3,82,6.9,0.361,0.36,0.12,0.0,9.6,4.4,19.1,4.1,0.0,16.0,16.0,,-0.2,0.1,-0.1,-0.051,,-4.2,2.2,-2.0,0.0,1987,True
3,Mark Aguirre,SF,27,DAL,4,130,19.7,0.565,0.065,0.484,9.0,10.4,9.7,9.1,2.9,0.0,10.7,25.8,,0.2,0.1,0.3,0.115,,2.3,-0.8,1.5,0.1,1987,True
4,Danny Ainge,SG,27,BOS,20,762,11.9,0.581,0.307,0.151,2.1,5.9,4.1,16.7,1.6,0.3,13.9,16.7,,0.7,0.3,1.0,0.06,,0.8,-0.3,0.6,0.5,1987,True
5,Mark Alarie,PF,23,DEN,3,41,10.4,0.63,0.0,0.133,0.0,13.7,6.0,3.5,2.2,2.7,20.1,18.1,,0.0,0.0,0.0,-0.033,,-5.6,1.0,-4.5,0.0,1987,True
6,Richard Anderson,PF,26,HOU,5,5,20.2,0.644,0.667,0.667,23.9,0.0,11.4,0.0,0.0,0.0,20.5,41.4,,0.0,0.0,0.0,0.154,,6.6,-4.2,2.4,0.0,1987,True
7,Ron Anderson,SF,28,IND,4,24,5.8,0.5,0.0,0.0,10.3,5.1,7.7,0.0,0.0,0.0,0.0,7.8,,0.0,0.0,0.0,0.089,,-1.1,-2.4,-3.5,0.0,1987,True
8,Thurl Bailey,PF,25,UTA,5,151,16.1,0.55,0.0,0.286,10.8,12.4,11.6,10.2,1.0,2.4,14.5,23.2,,0.1,0.2,0.3,0.11,,0.3,0.5,0.8,0.1,1987,True
9,Greg Ballard,SF,32,GSW,10,179,14.7,0.593,0.208,0.083,10.7,15.0,12.7,14.5,2.2,0.0,15.3,13.6,,0.2,0.2,0.4,0.111,,2.5,0.5,3.0,0.2,1987,True
10,Gene Banks,SF,27,CHI,3,79,10.1,0.607,0.0,0.364,4.3,8.7,6.3,4.4,0.0,0.0,7.3,15.8,,0.1,0.0,0.1,0.058,,-2.7,-2.2,-4.8,-0.1,1987,True
11,Charles Barkley*,PF,23,PHI,5,210,20.2,0.649,0.107,0.6,15.5,18.4,17.1,8.5,0.9,2.2,18.8,23.0,,0.4,0.2,0.7,0.15,,3.5,-0.8,2.6,0.2,1987,True
12,John Battle,SG,24,ATL,8,78,17.2,0.601,0.147,0.676,3.0,11.8,7.4,17.6,0.7,0.0,13.7,29.2,,0.2,0.1,0.3,0.159,,2.0,0.5,2.4,0.1,1987,True
13,Kent Benson,C,32,UTA,2,3,-16.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.1,,0.0,0.0,0.0,-0.45,,-17.2,-2.9,-20.1,0.0,1987,True
14,Larry Bird*,SF,30,BOS,23,1015,21.8,0.577,0.09,0.425,5.0,21.6,13.6,24.5,1.3,1.1,11.6,25.9,,2.4,0.9,3.2,0.152,,5.7,0.6,6.3,2.1,1987,True
15,Uwe Blab,C,24,DAL,1,10,4.6,0.543,0.0,4.0,10.6,20.8,15.7,0.0,4.7,5.5,42.0,19.0,,0.0,0.0,0.0,-0.143,,-12.0,1.6,-10.4,0.0,1987,True
16,Rolando Blackman,SG,27,DAL,4,153,17.5,0.562,0.014,0.329,2.8,6.8,4.8,16.4,0.6,0.0,8.7,23.8,,0.3,0.0,0.3,0.091,,2.9,-1.8,1.1,0.1,1987,True
17,Manute Bol,C,24,WSB,3,43,8.5,0.368,0.1,0.2,11.2,10.5,10.9,0.0,0.0,6.2,0.0,10.6,,0.0,0.0,0.0,0.03,,-3.6,0.1,-3.6,0.0,1987,True
18,Dudley Bradley,SG,29,MIL,12,46,2.2,0.379,0.545,0.182,0.0,0.0,0.0,5.4,3.2,0.0,7.8,11.5,,-0.1,0.0,0.0,-0.038,,-7.0,1.7,-5.3,0.0,1987,True
19,Adrian Branch,SF,23,LAL,11,42,-1.9,0.266,0.048,0.571,8.9,17.0,13.3,14.2,2.3,0.0,16.0,30.7,,-0.3,0.1,-0.2,-0.227,,-13.3,-4.2,-17.4,-0.2,1987,True
20,Randy Breuer,C,26,MIL,12,156,9.8,0.522,0.0,0.364,6.5,17.5,11.7,3.3,2.2,3.5,9.5,11.2,,0.1,0.2,0.2,0.077,,-3.1,1.9,-1.2,0.0,1987,True
21,Mike Brown,C,23,CHI,1,3,-17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,50.0,30.3,,-0.1,0.0,0.0,-0.668,,-30.1,4.4,-25.8,0.0,1987,True
22,Tony Campbell,SF,24,DET,4,13,24.7,0.654,0.167,0.333,0.0,42.8,21.5,0.0,0.0,0.0,0.0,22.5,,0.1,0.0,0.1,0.307,,0.9,1.2,2.1,0.0,1987,True
23,Antoine Carr,PF,25,ATL,9,162,22.9,0.742,0.0,0.571,7.8,11.3,9.6,15.0,1.0,3.3,12.5,22.0,,0.6,0.2,0.9,0.255,,4.1,4.0,8.2,0.4,1987,True
24,Joe Barry Carroll,C,28,GSW,10,334,15.3,0.51,0.006,0.313,5.1,18.0,11.1,8.7,2.0,4.7,14.3,26.8,,-0.2,0.4,0.2,0.029,,-0.7,0.4,-0.3,0.1,1987,True
25,Terry Catledge,PF,23,WSB,3,98,17.2,0.567,0.0,0.415,6.9,20.7,13.3,0.0,1.5,0.5,12.6,23.7,,0.0,0.1,0.1,0.07,,1.8,-0.2,1.6,0.1,1987,True
26,Tom Chambers,PF,27,SEA,14,498,16.8,0.525,0.068,0.376,6.6,14.4,10.1,10.0,1.2,1.7,10.0,27.9,,0.5,0.5,1.0,0.092,,2.0,-1.2,0.8,0.4,1987,True
27,Maurice Cheeks*,PG,30,PHI,5,210,16.5,0.585,0.015,0.318,0.6,6.1,3.5,29.5,2.1,1.1,13.8,17.2,,0.4,0.1,0.6,0.127,,2.7,0.8,3.5,0.3,1987,True
28,Steve Colter,PG,24,PHI,2,8,10.4,0.5,0.0,0.0,0.0,0.0,0.0,33.2,0.0,0.0,0.0,10.3,,0.0,0.0,0.0,0.103,,0.6,0.0,0.6,0.0,1987,True
29,Darwin Cook,SG,28,WSB,3,41,8.3,0.281,0.083,0.083,9.4,8.2,8.9,12.4,4.7,0.0,0.0,25.4,,-0.1,0.1,-0.1,-0.1,,-2.2,1.2,-1.0,0.0,1987,True
30,Michael Cooper*,SG,30,LAL,18,522,16.7,0.64,0.44,0.34,1.9,9.9,6.3,22.0,2.3,1.5,16.8,17.4,,1.0,0.8,1.8,0.165,,3.3,2.3,5.6,1.0,1987,True
