Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Alaa Abdelnaby,PF,23,POR,8,25,8.6,0.51,0.0,0.4,0.0,19.4,9.8,12.9,0.0,0.0,14.5,23.7,,0.0,0.0,0.0,-0.005,,-4.2,-0.4,-4.6,0.0,1992,True
2,Rafael Addison,SF,27,NJN,1,9,6.6,0.357,0.286,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,31.7,,0.0,0.0,0.0,-0.134,,1.2,-6.3,-5.1,0.0,1992,True
3,Mark Aguirre,SF,32,DET,5,113,4.8,0.409,0.104,0.333,4.3,4.9,4.6,21.1,1.0,0.6,19.1,29.0,,-0.5,0.1,-0.3,-0.147,,-3.8,-2.1,-5.8,-0.1,1992,True
4,Danny Ainge,SG,32,POR,21,449,14.3,0.585,0.308,0.278,2.2,8.6,5.4,17.0,1.7,0.2,11.6,20.6,,0.8,0.4,1.2,0.124,,1.0,0.5,1.5,0.4,1992,True
5,Victor Alexander,C,22,GSW,4,24,8.6,0.643,0.0,0.2,4.5,25.6,14.4,5.5,4.0,0.0,26.9,12.7,,0.0,0.0,0.0,0.063,,-5.4,2.9,-2.5,0.0,1992,True
6,Kenny Anderson,PG,21,NJN,3,24,10.1,0.405,0.0,0.222,4.1,9.8,6.7,16.7,2.1,0.0,9.2,18.5,,0.0,0.0,0.0,-0.012,,-2.8,-1.5,-4.2,0.0,1992,True
7,Greg Anthony,PG,24,NYK,12,213,13.8,0.52,0.261,0.717,2.3,7.5,4.9,31.3,4.3,0.3,17.7,16.1,,0.2,0.5,0.6,0.142,,0.0,5.1,5.1,0.4,1992,True
8,B.J. Armstrong,PG,24,CHI,22,434,11.4,0.517,0.122,0.273,0.6,6.2,3.4,16.5,1.7,0.0,10.4,18.3,,0.3,0.5,0.8,0.09,,-0.7,0.1,-0.6,0.2,1992,True
9,Vincent Askew,SG,25,GSW,4,30,-1.1,0.125,0.0,0.0,10.8,4.1,7.7,19.6,0.0,0.0,20.0,13.7,,-0.1,0.0,-0.1,-0.186,,-5.3,-4.5,-9.8,-0.1,1992,True
10,Keith Askins,SF,24,MIA,3,48,10.2,0.547,0.455,0.182,9.9,13.2,11.5,9.7,1.1,0.0,7.8,12.0,,0.1,0.0,0.0,0.02,,1.0,-0.7,0.3,0.0,1992,True
