Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
128,Danny Vranes,SF,23,SEA,6,29,-1.9,0.255,0.0,0.4,3.7,3.5,3.6,0.0,1.7,0.0,25.4,11.5,,-0.1,0.0,-0.1,-0.114,,-7.5,-2.6,-10.1,-0.1,1982,True
129,Wally Walker,SF,27,SEA,8,157,8.9,0.417,0.0,0.089,8.1,13.0,10.6,14.1,1.3,1.4,13.0,14.5,,-0.1,0.2,0.2,0.051,,-2.7,0.5,-2.2,0.0,1982,True
130,Jamaal Wilkes*,SF,28,LAL,14,535,13.9,0.533,0.004,0.203,8.4,5.6,6.9,9.1,1.4,0.3,13.2,22.2,,0.7,0.3,0.9,0.083,,1.2,-2.4,-1.2,0.1,1982,True
131,Buck Williams,PF,21,NJN,2,79,16.5,0.537,0.0,0.577,15.9,15.6,15.8,6.4,0.6,1.6,10.9,19.9,,0.1,0.1,0.2,0.125,,1.2,-1.4,-0.2,0.0,1982,True
132,Freeman Williams,SG,25,ATL,1,4,-17.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,,0.0,0.0,0.0,-0.543,,-16.2,-8.8,-25.0,0.0,1982,True
133,Gus Williams,PG,28,SEA,8,315,22.3,0.498,0.032,0.301,4.1,4.5,4.3,38.5,2.1,0.9,7.9,30.7,,0.7,0.4,1.1,0.166,,7.2,-0.2,7.0,0.7,1982,True
134,Ray Williams,SG,27,NJN,2,77,10.7,0.346,0.106,0.106,11.9,6.4,9.2,30.9,2.6,0.0,10.9,30.7,,-0.2,0.1,-0.1,-0.058,,-1.4,-1.1,-2.5,0.0,1982,True
135,Bill Willoughby,SF,24,HOU,2,17,14.9,0.694,0.0,1.0,11.1,24.9,17.6,8.6,0.0,0.0,25.8,10.1,,0.0,0.0,0.1,0.154,,0.7,-0.1,0.6,0.0,1982,True
136,Brian Winters,SG,29,MIL,6,232,12.8,0.577,0.13,0.312,2.0,6.7,4.1,18.8,1.8,0.3,20.1,20.0,,0.2,0.0,0.2,0.044,,0.2,-0.7,-0.5,0.1,1982,True
137,Garry Witts,SF,22,WSB,4,28,10.1,0.868,0.0,1.0,7.8,4.1,6.0,10.2,1.8,0.0,0.0,4.3,,0.1,0.0,0.1,0.188,,0.4,2.4,2.8,0.0,1982,True
138,Rich Yonakor,PF,23,SAS,2,4,29.6,0.5,0.0,0.0,0.0,27.4,13.1,38.7,11.8,0.0,0.0,19.7,,0.0,0.0,0.0,0.313,,4.9,13.6,18.5,0.0,1982,True
