Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Al Attles*,PG,31,SFW,10,277,13.3,0.485,,0.484,,,,31.4,,,,,,0.2,0.2,0.4,0.067,,,,,,1968,True
2,Jim Barnes,PF,26,CHI,5,57,3.1,0.25,,0.0,,,,2.3,,,,,,-0.2,0.1,-0.1,-0.072,,,,,,1968,True
3,Dick Barnett*,SG,31,NYK,6,211,19.4,0.551,,0.248,,,,15.8,,,,,,0.7,0.1,0.7,0.167,,,,,,1968,True
4,Elgin Baylor*,SF,33,LAL,15,633,23.0,0.503,,0.298,,,,14.8,,,,,,1.1,0.8,1.9,0.142,,,,,,1968,True
5,Zelmo Beaty*,C,28,STL,6,239,18.9,0.555,,0.598,,,,9.5,,,,,,0.6,0.2,0.8,0.167,,,,,,1968,True
6,Walt Bellamy*,C,28,NYK,6,277,15.2,0.468,,0.449,,,,10.0,,,,,,0.1,0.2,0.2,0.041,,,,,,1968,True
7,Dave Bing*,PG,24,DET,6,254,17.0,0.455,,0.271,,,,18.0,,,,,,0.0,0.4,0.4,0.066,,,,,,1968,True
8,Bob Boozer,PF,30,CHI,5,190,18.4,0.524,,0.521,,,,10.1,,,,,,0.4,0.2,0.6,0.142,,,,,,1968,True
9,Nate Bowman,C,24,NYK,1,6,-13.2,0.0,,0.0,,,,0.0,,,,,,-0.1,0.0,-0.1,-0.759,,,,,,1968,True
10,Bill Bradley*,SG,24,NYK,6,64,11.4,0.489,,0.464,,,,4.3,,,,,,0.1,0.0,0.1,0.054,,,,,,1968,True
11,Bill Bridges,PF,28,STL,6,216,16.6,0.547,,0.333,,,,9.8,,,,,,0.4,0.2,0.6,0.136,,,,,,1968,True
12,Em Bryant,PG,29,NYK,5,75,5.4,0.395,,0.385,,,,10.8,,,,,,0.0,0.0,0.0,-0.008,,,,,,1968,True
13,Joe Caldwell,SF,26,STL,6,148,4.4,0.304,,0.326,,,,13.7,,,,,,-0.4,0.1,-0.4,-0.116,,,,,,1968,True
14,Wilt Chamberlain*,C,31,PHI,13,631,22.7,0.511,,0.681,,,,19.6,,,,,,0.9,1.6,2.5,0.191,,,,,,1968,True
15,Len Chappell,C,27,DET,5,21,11.7,0.363,,0.857,,,,0.0,,,,,,-0.1,0.0,0.0,-0.006,,,,,,1968,True
16,Archie Clark,PG,26,LAL,15,528,12.8,0.484,,0.335,,,,15.1,,,,,,0.4,0.4,0.8,0.072,,,,,,1968,True
17,Barry Clemens,SF,24,CHI,4,45,14.9,0.563,,0.25,,,,17.9,,,,,,0.1,0.0,0.2,0.163,,,,,,1968,True
18,Mel Counts,PF,26,LAL,15,306,18.2,0.563,,0.307,,,,10.6,,,,,,0.7,0.4,1.1,0.173,,,,,,1968,True
19,Freddie Crawford,SG,26,LAL,15,257,8.6,0.462,,0.422,,,,8.0,,,,,,0.0,0.2,0.2,0.04,,,,,,1968,True
20,Billy Cunningham*,SF,24,PHI,3,86,24.6,0.614,,0.395,,,,19.2,,,,,,0.4,0.1,0.6,0.323,,,,,,1968,True
21,Jim Davis,C,26,STL,2,9,3.7,0.333,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,-0.081,,,,,,1968,True
22,Dave DeBusschere*,SF,27,DET,6,263,15.7,0.461,,0.425,,,,6.8,,,,,,0.0,0.5,0.5,0.098,,,,,,1968,True
23,Terry Dischinger,SF,27,DET,6,154,9.9,0.435,,0.339,,,,7.6,,,,,,-0.1,0.2,0.1,0.044,,,,,,1968,True
24,Sonny Dove,PF,22,DET,2,6,21.4,0.5,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.143,,,,,,1968,True
25,Joe Ellis,SF,23,SFW,9,104,5.0,0.34,,0.159,,,,8.7,,,,,,-0.3,0.0,-0.3,-0.119,,,,,,1968,True
26,Wayne Embry*,C,30,BOS,16,162,7.9,0.411,,0.492,,,,4.8,,,,,,-0.2,0.2,0.0,-0.005,,,,,,1968,True
27,Keith Erickson,SF,23,CHI,5,183,12.1,0.448,,0.262,,,,9.1,,,,,,0.0,0.2,0.1,0.039,,,,,,1968,True
28,Jim Fox,C,24,DET,6,90,13.2,0.493,,1.0,,,,4.0,,,,,,0.1,0.2,0.2,0.125,,,,,,1968,True
29,Walt Frazier*,PG,22,NYK,4,119,13.6,0.464,,0.545,,,,25.7,,,,,,0.0,0.1,0.1,0.043,,,,,,1968,True
30,Gail Goodrich*,SG,24,LAL,10,100,19.8,0.546,,0.383,,,,20.3,,,,,,0.3,0.1,0.4,0.179,,,,,,1968,True
31,Mal Graham,PG,22,BOS,5,22,5.3,0.396,,0.6,,,,5.5,,,,,,0.0,0.0,0.0,-0.006,,,,,,1968,True
32,Johnny Green,PF,34,PHI,12,219,16.0,0.572,,0.662,,,,5.1,,,,,,0.5,0.3,0.8,0.184,,,,,,1968,True
33,Hal Greer*,SG,31,PHI,13,553,17.6,0.512,,0.399,,,,14.9,,,,,,1.0,0.7,1.7,0.147,,,,,,1968,True
34,Matt Guokas,SF,23,PHI,13,327,7.4,0.44,,0.342,,,,11.6,,,,,,-0.1,0.4,0.3,0.047,,,,,,1968,True
35,Happy Hairston,PF,25,DET,6,149,12.3,0.439,,0.282,,,,6.6,,,,,,-0.1,0.2,0.1,0.046,,,,,,1968,True
36,Dennis Hamilton,PF,23,LAL,2,11,7.2,0.333,,0.0,,,,11.0,,,,,,0.0,0.0,0.0,-0.046,,,,,,1968,True
37,Clem Haskins,PG,24,CHI,5,53,15.2,0.424,,0.214,,,,22.3,,,,,,-0.1,0.1,0.0,0.005,,,,,,1968,True
38,John Havlicek*,SG,27,BOS,19,862,19.9,0.521,,0.371,,,,23.6,,,,,,1.8,1.1,2.8,0.157,,,,,,1968,True
39,Tom Hawkins,PF,31,LAL,15,478,9.0,0.484,,0.31,,,,4.7,,,,,,0.2,0.4,0.6,0.058,,,,,,1968,True
40,Fred Hetzel,SF,25,SFW,10,321,16.4,0.532,,0.407,,,,7.3,,,,,,0.7,0.1,0.9,0.128,,,,,,1968,True
41,Bailey Howell*,PF,31,BOS,19,597,17.2,0.553,,0.405,,,,5.4,,,,,,1.6,0.6,2.2,0.176,,,,,,1968,True
42,Lou Hudson*,SG,23,STL,6,181,21.2,0.543,,0.475,,,,13.0,,,,,,0.6,0.1,0.7,0.185,,,,,,1968,True
43,Darrall Imhoff,C,29,LAL,15,440,12.5,0.511,,0.573,,,,8.3,,,,,,0.4,0.5,0.9,0.097,,,,,,1968,True
44,Luke Jackson,PF,26,PHI,13,432,9.3,0.427,,0.222,,,,5.0,,,,,,-0.3,0.6,0.3,0.031,,,,,,1968,True
45,Phil Jackson*,PF,22,NYK,6,90,3.0,0.323,,0.143,,,,2.7,,,,,,-0.3,0.0,-0.2,-0.125,,,,,,1968,True
46,Neil Johnson,PF,24,NYK,2,6,20.3,0.5,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.097,,,,,,1968,True
47,Johnny Jones,SF,24,BOS,5,10,16.9,0.5,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.119,,,,,,1968,True
48,Sam Jones*,SG,34,BOS,19,685,14.0,0.483,,0.229,,,,10.8,,,,,,0.6,0.5,1.1,0.074,,,,,,1968,True
49,Wali Jones,PG,25,PHI,13,387,9.9,0.42,,0.295,,,,14.3,,,,,,-0.4,0.4,0.0,-0.003,,,,,,1968,True
50,Jim King,PG,26,SFW,9,113,13.5,0.475,,0.5,,,,23.5,,,,,,0.1,0.1,0.1,0.053,,,,,,1968,True
51,Howard Komives,PG,26,NYK,6,135,6.7,0.364,,0.136,,,,21.1,,,,,,-0.2,0.1,-0.2,-0.055,,,,,,1968,True
52,Rudy LaRusso,PF,30,SFW,10,385,14.4,0.466,,0.445,,,,6.2,,,,,,0.1,0.2,0.3,0.036,,,,,,1968,True
53,Dave Lattin,PF,24,SFW,5,27,4.1,0.458,,1.2,,,,4.3,,,,,,0.0,0.0,0.0,0.022,,,,,,1968,True
54,Clyde Lee,C,23,SFW,10,405,10.4,0.429,,0.308,,,,7.0,,,,,,-0.2,0.2,0.0,0.004,,,,,,1968,True
55,George Lehmann,PG,26,STL,1,2,6.0,0.0,,0.0,,,,100.0,,,,,,0.0,0.0,0.0,-0.467,,,,,,1968,True
56,Bobby Lewis,SG,22,SFW,1,4,28.4,0.667,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.411,,,,,,1968,True
57,Paul Long,SG,23,DET,1,4,60.6,1.0,,0.0,,,,100.0,,,,,,0.1,0.0,0.1,1.177,,,,,,1968,True
58,McCoy McLemore,SF,25,CHI,5,142,10.7,0.464,,0.429,,,,5.3,,,,,,0.0,0.1,0.1,0.045,,,,,,1968,True
59,Bill Melchionni,PG,23,PHI,9,50,8.9,0.349,,0.167,,,,27.6,,,,,,-0.1,0.1,-0.1,-0.068,,,,,,1968,True
