Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
1,Kareem Abdul-Jabbar*,C,29,LAL,11,467,32.4,0.646,,0.496,11.4,31.5,21.6,18.1,1.9,4.2,,,,2.3,0.9,3.2,0.332,,9.6,2.6,12.2,1.7,1977,True
2,Tom Abernethy,SF,22,LAL,11,214,12.4,0.517,,0.54,5.9,13.4,9.7,13.7,1.5,0.5,,,,0.2,0.2,0.3,0.075,,0.3,-0.5,-0.2,0.1,1977,True
3,Lucius Allen,PG,29,LAL,7,186,13.6,0.426,,0.232,3.9,13.7,8.9,19.1,2.7,0.8,,,,-0.1,0.2,0.1,0.019,,-1.9,0.1,-1.8,0.0,1977,True
4,Rick Barry*,SF,32,GSW,10,415,20.4,0.505,,0.168,5.6,8.3,6.9,18.3,1.9,0.9,,,,1.1,0.3,1.4,0.166,,4.8,0.0,4.8,0.7,1977,True
5,Byron Beck,PF,32,DEN,5,29,5.6,0.405,,0.222,7.1,15.0,11.0,4.8,0.0,0.0,,,,0.0,0.0,0.0,-0.011,,-3.9,-3.0,-6.9,0.0,1977,True
6,Henry Bibby,PG,27,PHI,19,691,10.2,0.473,,0.299,4.2,6.3,5.2,14.3,1.6,0.1,,,,0.3,0.4,0.7,0.046,,-1.2,-0.6,-1.8,0.0,1977,True
7,Dave Bing*,SG,33,WSB,8,55,14.8,0.474,,0.125,5.9,5.5,5.7,15.2,0.0,0.9,,,,0.0,0.0,0.1,0.047,,0.5,-2.2,-1.6,0.0,1977,True
8,Tom Boerwinkle,C,31,CHI,3,17,18.1,0.2,,0.0,13.2,61.6,35.6,60.8,0.0,3.4,,,,-0.1,0.0,-0.1,-0.165,,1.5,4.6,6.1,0.0,1977,True
9,Tom Boswell,PF,23,BOS,9,81,8.7,0.484,,0.333,12.5,12.2,12.4,11.4,0.6,0.0,,,,0.0,0.1,0.1,0.047,,-2.7,-0.4,-3.2,0.0,1977,True
10,Jim Brewer,PF,25,CLE,3,113,10.1,0.419,,0.037,8.3,23.8,15.1,5.8,1.6,2.1,,,,0.0,0.2,0.3,0.109,,-0.6,1.2,0.6,0.1,1977,True
11,Allan Bristow,SF,25,SAS,2,28,9.6,0.309,,1.0,10.1,4.2,7.5,33.5,3.1,0.0,,,,-0.1,0.0,-0.1,-0.139,,-5.2,-0.1,-5.3,0.0,1977,True
12,Gary Brokaw,SG,23,CLE,3,44,16.9,0.462,,0.316,5.8,2.4,4.3,42.0,2.1,1.3,,,,0.0,0.1,0.1,0.085,,3.0,0.8,3.8,0.1,1977,True
13,Roger Brown,C,26,DET,2,5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.4,,,,0.0,0.0,0.0,-0.213,,-7.7,0.5,-7.2,0.0,1977,True
14,Joe Bryant,PF,22,PHI,10,74,12.2,0.42,,0.258,2.8,17.6,10.3,13.2,3.6,1.4,,,,-0.1,0.1,0.0,0.015,,-3.4,1.8,-1.6,0.0,1977,True
15,Corky Calhoun,SF,26,POR,12,94,9.5,0.532,,0.12,7.0,8.8,7.9,5.5,1.9,1.2,,,,0.0,0.1,0.2,0.084,,-0.3,-0.5,-0.8,0.0,1977,True
16,Mack Calvin,PG,29,DEN,6,112,15.4,0.588,,0.725,0.9,7.8,4.3,18.0,0.4,0.0,,,,0.3,0.1,0.3,0.135,,1.1,-2.1,-1.0,0.0,1977,True
17,Austin Carr,SG,28,CLE,3,83,4.3,0.285,,0.077,4.1,7.8,5.7,16.7,1.1,0.7,,,,-0.3,0.1,-0.2,-0.092,,-5.5,-1.6,-7.1,-0.1,1977,True
18,M.L. Carr,SF,26,DET,3,112,8.0,0.411,,0.226,8.0,6.2,7.0,7.0,0.4,1.3,,,,0.0,-0.1,-0.1,-0.055,,-3.3,-1.4,-4.7,-0.1,1977,True
19,Harvey Catchings,C,25,PHI,8,54,4.3,0.316,,0.6,9.6,13.0,11.3,2.2,0.0,3.8,,,,-0.1,0.0,0.0,-0.017,,-4.1,-0.3,-4.4,0.0,1977,True
20,Don Chaney,SG,30,LAL,11,412,9.6,0.416,,0.229,6.1,6.9,6.5,15.3,2.4,0.4,,,,0.0,0.3,0.2,0.028,,-1.1,0.0,-1.1,0.1,1977,True
21,Phil Chenier,SG,26,WSB,9,360,18.2,0.527,,0.296,2.4,9.0,5.8,10.6,2.0,0.6,,,,0.7,0.3,1.0,0.137,,2.6,0.3,2.9,0.4,1977,True
22,Jim Chones,C,27,CLE,3,99,15.1,0.648,,0.259,9.5,21.7,14.9,4.4,0.0,0.6,,,,0.3,0.1,0.4,0.213,,3.1,-0.8,2.3,0.1,1977,True
23,Doug Collins*,SG,25,PHI,19,759,17.6,0.59,,0.302,4.1,6.5,5.3,15.1,1.7,0.2,,,,2.1,0.5,2.6,0.163,,3.1,-0.6,2.5,0.9,1977,True
24,Norm Cook,SF,21,BOS,1,3,41.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.475,,22.1,4.9,27.0,0.0,1977,True
25,Dave Cowens*,C,28,BOS,9,379,14.5,0.472,,0.149,7.7,27.5,17.7,13.9,0.9,1.8,,,,0.2,0.6,0.8,0.101,,1.3,1.2,2.5,0.4,1977,True
26,Louie Dampier*,PG,32,SAS,2,62,5.7,0.338,,0.25,0.0,5.7,2.5,18.4,0.7,0.8,,,,-0.1,0.0,-0.1,-0.06,,-4.3,-1.2,-5.6,-0.1,1977,True
27,Johnny Davis,SG,21,POR,16,436,13.6,0.537,,0.398,2.5,5.5,4.0,15.6,2.9,0.4,,,,0.4,0.6,1.0,0.113,,2.0,0.1,2.1,0.5,1977,True
28,Darryl Dawkins,C,20,PHI,18,331,14.4,0.566,,0.495,2.8,27.0,15.1,7.1,1.1,2.8,,,,0.3,0.5,0.8,0.115,,-0.6,1.3,0.6,0.2,1977,True
29,Coby Dietrick,C,28,SAS,2,64,11.7,0.507,,0.261,5.9,9.3,7.4,11.7,0.7,0.0,,,,0.1,0.0,0.1,0.067,,0.4,-1.3,-0.8,0.0,1977,True
30,Leon Douglas,C,22,DET,3,57,5.5,0.311,,0.538,7.0,9.1,8.1,6.5,0.8,4.1,,,,-0.2,0.0,-0.2,-0.148,,-8.9,0.8,-8.1,-0.1,1977,True
31,Charles Dudley,PG,26,GSW,10,236,13.1,0.435,,0.622,6.7,9.0,7.8,34.1,1.4,0.0,,,,0.0,0.1,0.2,0.039,,0.3,0.1,0.3,0.1,1977,True
32,Mike Dunleavy,PG,22,PHI,11,68,7.5,0.404,,0.2,1.5,4.4,3.0,17.7,2.0,0.0,,,,-0.1,0.0,-0.1,-0.051,,-5.7,-1.0,-6.7,-0.1,1977,True
33,Al Eberhard,SF,24,DET,3,42,3.4,0.28,,0.889,4.8,14.4,9.9,5.6,1.1,0.0,,,,-0.1,0.0,-0.1,-0.17,,-9.2,-1.6,-10.8,-0.1,1977,True
34,Julius Erving*,SF,26,PHI,19,758,22.9,0.577,,0.344,5.6,10.7,8.2,18.4,2.4,1.6,,,,2.6,0.8,3.4,0.215,,6.6,0.7,7.4,1.8,1977,True
35,Chris Ford,SG,28,DET,3,101,14.1,0.427,,0.205,7.9,9.4,8.7,17.1,3.3,0.0,,,,0.0,0.0,0.0,-0.017,,-3.3,1.0,-2.3,0.0,1977,True
36,Don Ford,PF,24,LAL,11,333,13.4,0.488,,0.367,6.9,11.0,9.0,15.4,2.4,0.6,,,,0.2,0.3,0.5,0.071,,0.6,-0.1,0.5,0.2,1977,True
37,World B. Free,SG,23,PHI,15,281,15.2,0.439,,0.453,3.7,7.9,5.8,15.8,1.9,1.5,,,,-0.3,0.2,-0.1,-0.01,,-1.6,-1.7,-3.3,-0.1,1977,True
38,Terry Furlow,SG,22,PHI,5,16,31.5,0.627,,0.364,19.5,12.6,15.9,0.0,2.8,0.0,,,,0.1,0.0,0.1,0.295,,8.7,0.2,8.9,0.0,1977,True
39,Mike Gale,SG,26,SAS,2,67,12.1,0.422,,0.304,7.0,8.8,7.8,20.7,2.6,1.6,,,,-0.1,0.1,0.0,0.017,,-1.9,1.3,-0.6,0.0,1977,True
40,George Gervin*,SF,24,SAS,2,62,18.6,0.494,,0.341,7.6,11.5,9.3,8.8,0.7,1.7,,,,0.0,0.0,0.1,0.055,,1.6,-1.6,-0.1,0.0,1977,True
41,Herm Gilliam,SG,30,POR,18,295,10.3,0.448,,0.098,2.6,4.6,3.6,14.8,2.0,0.2,,,,-0.1,0.3,0.2,0.039,,-0.3,-1.5,-1.8,0.0,1977,True
42,Artis Gilmore*,C,27,CHI,3,126,18.3,0.559,,0.575,13.4,24.9,18.7,8.1,1.1,3.7,,,,0.2,0.2,0.3,0.129,,2.2,-0.2,2.0,0.1,1977,True
43,Leonard Gray,PF,25,WSB,8,52,1.7,0.286,,0.0,4.1,13.7,9.0,2.6,1.8,0.0,,,,-0.2,0.0,-0.2,-0.149,,-9.7,-1.3,-11.1,-0.1,1977,True
44,Kevin Grevey,SF,23,WSB,9,225,8.7,0.443,,0.261,4.8,2.7,3.7,5.1,0.4,1.1,,,,0.0,0.0,0.0,-0.002,,-1.8,-1.8,-3.6,-0.1,1977,True
45,Bob Gross,SF,23,POR,19,583,18.7,0.639,,0.29,9.2,11.2,10.2,18.9,2.5,1.4,,,,1.5,1.0,2.5,0.203,,4.8,0.7,5.6,1.1,1977,True
46,John Havlicek*,SF,36,BOS,9,375,12.6,0.437,,0.299,4.0,9.0,6.5,23.9,1.0,0.6,,,,0.0,0.3,0.3,0.038,,0.3,-0.9,-0.5,0.1,1977,True
47,Elvin Hayes*,PF,31,WSB,9,405,15.7,0.475,,0.341,7.7,23.3,15.7,6.3,1.2,2.7,,,,0.2,0.6,0.8,0.092,,0.0,0.4,0.4,0.2,1977,True
